VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2023-10-11 13:40:12,2023-10-11 13:49:08,82,Brooklyn,138,Queens,3.61,17.0,23.5,0.0,1.0
2,2023-10-13 17:12:00,2023-10-13 17:58:00,242,Manhattan,167,Queens,5.75,31.23,32.23,0.0,
2,2023-10-15 13:07:33,2023-10-15 13:17:13,226,Manhattan,145,Queens,1.49,11.4,12.9,0.0,2.0
2,2023-10-10 11:10:51,2023-10-10 11:18:25,75,Brooklyn,75,Brooklyn,0.61,7.9,9.4,0.0,2.0
2,2023-10-20 18:20:11,2023-10-20 18:24:32,33,Brooklyn,54,Brooklyn,0.79,6.5,12.6,0.0,1.0
2,2023-10-17 12:21:10,2023-10-17 12:31:47,7,Manhattan,223,Manhattan,2.0,12.1,13.6,0.0,2.0
2,2023-10-26 17:55:18,2023-10-26 17:55:22,102,Brooklyn,102,Brooklyn,0.0,30.0,31.0,0.0,1.0
2,2023-10-21 11:12:12,2023-10-21 11:25:38,74,Brooklyn,24,Manhattan,2.0,14.2,15.7,0.0,2.0
2,2023-10-11 08:45:09,2023-10-11 09:13:31,193,Manhattan,140,Queens,2.59,24.0,35.31,0.0,1.0
1,2023-10-12 14:19:34,2023-10-12 14:26:33,42,Manhattan,74,Brooklyn,1.2,7.9,9.4,0.0,2.0
2,2023-10-04 15:15:53,2023-10-04 15:23:00,82,Brooklyn,83,Brooklyn,0.91,8.6,12.62,0.0,1.0
2,2023-10-22 08:14:56,2023-10-22 08:43:10,61,Brooklyn,165,Queens,4.56,28.9,30.4,0.0,2.0
2,2023-10-07 13:51:14,2023-10-07 14:12:03,65,Brooklyn,225,Manhattan,3.05,19.8,25.56,0.0,1.0
2,2023-10-24 18:48:01,2023-10-24 18:54:06,95,Brooklyn,95,Brooklyn,0.73,15.0,19.2,0.0,1.0
2,2023-10-07 19:29:48,2023-10-07 19:54:56,95,Brooklyn,216,Manhattan,4.45,26.8,28.3,0.0,2.0
2,2023-10-05 16:57:04,2023-10-05 17:05:33,74,Brooklyn,75,Brooklyn,1.37,10.0,14.0,0.0,1.0
2,2023-10-14 23:27:00,2023-10-14 23:53:00,256,Manhattan,188,Queens,4.28,24.42,30.5,0.0,
2,2023-10-11 01:26:58,2023-10-11 01:34:17,75,Brooklyn,239,Manhattan,2.01,10.7,19.94,0.0,1.0
2,2023-10-21 04:54:12,2023-10-21 04:59:11,157,Queens,198,Manhattan,1.09,7.9,12.48,0.0,1.0
2,2023-10-09 09:47:40,2023-10-09 09:56:03,74,Brooklyn,140,Queens,3.44,15.6,23.82,0.0,1.0
