VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2023-02-02 20:10:00,2023-02-02 20:35:00,260,Manhattan,37,Manhattan,4.71,17.58,21.92,0.0,
1,2023-02-27 09:42:06,2023-02-27 10:20:01,259,Manhattan,137,Queens,0.0,47.5,55.55,6.55,1.0
1,2023-02-23 09:05:32,2023-02-23 09:15:48,74,Brooklyn,75,Brooklyn,1.3,10.7,15.2,0.0,1.0
2,2023-02-08 13:59:08,2023-02-08 14:12:47,130,Queens,219,Manhattan,5.76,24.7,26.2,0.0,1.0
2,2023-02-07 13:06:00,2023-02-07 13:10:00,152,Queens,152,Queens,0.62,10.69,14.03,0.0,
2,2023-02-21 13:34:38,2023-02-21 13:57:21,74,Brooklyn,237,Manhattan,2.71,21.2,30.54,0.0,1.0
2,2023-02-20 16:51:29,2023-02-20 17:07:51,41,Manhattan,244,Manhattan,2.83,17.7,19.2,0.0,2.0
2,2023-02-28 00:21:36,2023-02-28 00:31:04,159,Queens,244,Manhattan,1.94,14.0,15.0,0.0,2.0
1,2023-02-06 14:29:04,2023-02-06 14:38:30,244,Manhattan,243,Manhattan,1.4,10.0,11.5,0.0,2.0
1,2023-02-11 09:48:11,2023-02-11 09:57:03,129,Queens,7,Manhattan,1.6,10.0,13.5,0.0,1.0
2,2023-02-22 23:26:18,2023-02-22 23:35:06,130,Queens,130,Queens,1.82,11.4,13.9,0.0,1.0
2,2023-02-17 23:31:00,2023-02-18 00:07:00,97,Brooklyn,142,Queens,7.57,24.33,32.29,0.0,
2,2023-02-06 16:48:00,2023-02-06 16:48:00,228,Manhattan,228,Manhattan,0.0,11.5,12.5,0.0,
2,2023-02-04 21:38:03,2023-02-04 21:49:30,74,Brooklyn,262,Manhattan,2.61,11.0,18.06,0.0,1.0
2,2023-02-06 19:27:26,2023-02-06 19:55:52,82,Brooklyn,236,Queens,8.11,25.16,38.13,6.55,1.0
2,2023-02-21 16:04:46,2023-02-21 16:18:11,244,Manhattan,166,Brooklyn,3.18,17.0,26.0,0.0,1.0
2,2023-02-01 13:28:21,2023-02-01 13:37:45,74,Brooklyn,166,Brooklyn,1.03,10.0,11.5,0.0,2.0
2,2023-02-18 16:42:17,2023-02-18 16:50:24,74,Brooklyn,236,Queens,1.78,10.7,16.25,0.0,1.0
2,2023-02-14 09:22:18,2023-02-14 09:47:56,75,Brooklyn,134,Queens,12.26,48.5,56.55,6.55,2.0
