VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2024-04-10 19:56:19,2024-04-10 20:10:34,43,Bronx,48,Manhattan,3.05,17.0,29.69,0.0,1.0
2,2024-04-18 18:52:07,2024-04-18 19:16:32,43,Bronx,162,Queens,3.34,24.0,33.75,0.0,1.0
2,2024-04-27 21:29:39,2024-04-27 21:36:45,74,Brooklyn,236,Queens,1.84,10.0,17.46,0.0,1.0
2,2024-04-04 14:22:07,2024-04-04 14:32:29,74,Brooklyn,75,Brooklyn,1.4,11.4,15.48,0.0,1.0
2,2024-04-11 10:26:04,2024-04-11 10:35:45,82,Brooklyn,138,Queens,3.78,17.7,29.04,0.0,1.0
2,2024-04-29 13:35:36,2024-04-29 13:46:54,74,Brooklyn,41,Manhattan,1.55,12.8,17.16,0.0,1.0
2,2024-04-08 23:35:00,2024-04-08 23:51:00,41,Manhattan,163,Brooklyn,4.2,22.98,31.98,0.0,
2,2024-04-05 15:05:13,2024-04-05 15:11:47,129,Queens,260,Manhattan,0.9,7.9,9.4,0.0,2.0
2,2024-04-29 12:35:47,2024-04-29 13:15:34,166,Brooklyn,107,Brooklyn,7.73,42.9,58.94,0.0,1.0
2,2024-04-27 11:39:46,2024-04-27 11:49:44,75,Brooklyn,237,Manhattan,1.61,11.4,15.65,0.0,1.0
2,2024-04-23 02:08:51,2024-04-23 02:15:17,75,Brooklyn,151,Queens,1.78,10.7,13.2,0.0,2.0
2,2024-04-11 23:27:16,2024-04-11 23:31:55,166,Brooklyn,238,Manhattan,1.04,7.9,10.4,0.0,2.0
2,2024-04-21 15:10:14,2024-04-21 15:21:44,152,Queens,238,Manhattan,2.07,13.5,17.0,0.0,1.0
2,2024-04-21 00:00:41,2024-04-21 00:05:19,83,Brooklyn,129,Queens,0.52,6.5,9.0,0.0,2.0
2,2024-04-28 01:58:00,2024-04-28 02:15:00,61,Brooklyn,72,Brooklyn,3.41,18.78,23.64,0.0,
2,2024-04-17 12:27:02,2024-04-17 13:04:53,166,Brooklyn,230,Manhattan,4.85,38.0,42.25,0.0,1.0
2,2024-04-10 19:03:59,2024-04-10 19:16:13,41,Manhattan,239,Manhattan,3.21,16.3,25.05,0.0,1.0
2,2024-04-13 15:04:32,2024-04-13 15:12:19,75,Brooklyn,41,Manhattan,1.56,10.0,13.8,0.0,1.0
1,2024-04-12 14:45:19,2024-04-12 15:02:49,153,Queens,116,Queens,4.6,22.6,24.1,0.0,2.0
2,2024-04-16 01:34:18,2024-04-16 01:55:37,83,Brooklyn,229,Manhattan,4.73,24.7,35.94,0.0,1.0
2,2024-04-15 22:00:30,2024-04-15 22:06:42,66,Brooklyn,33,Brooklyn,0.97,7.9,12.48,0.0,1.0
2,2024-04-27 17:29:34,2024-04-27 17:47:32,166,Brooklyn,48,Manhattan,4.39,23.3,33.06,0.0,1.0
2,2024-04-13 01:13:00,2024-04-13 01:35:00,168,Queens,242,Manhattan,6.11,26.26,32.61,0.0,
2,2024-04-01 11:58:40,2024-04-01 12:11:08,74,Brooklyn,42,Manhattan,1.23,12.8,17.16,0.0,1.0
2,2024-04-29 11:04:47,2024-04-29 11:23:25,193,Manhattan,140,Queens,2.23,10.7,14.95,0.0,2.0
2,2024-04-02 11:33:00,2024-04-02 11:49:00,7,Manhattan,260,Manhattan,1.98,16.28,20.64,0.0,
1,2024-04-23 19:42:28,2024-04-23 19:57:40,65,Brooklyn,225,Manhattan,2.9,14.9,20.9,0.0,1.0
2,2024-04-22 15:49:10,2024-04-22 15:57:10,75,Brooklyn,74,Brooklyn,1.35,10.0,13.8,0.0,1.0
2,2024-04-23 18:21:19,2024-04-23 18:32:19,95,Brooklyn,196,Manhattan,0.29,10.7,17.64,0.0,1.0
2,2024-04-25 12:20:21,2024-04-25 12:35:11,75,Brooklyn,237,Manhattan,2.11,14.9,21.07,0.0,1.0
2,2024-04-05 16:11:22,2024-04-05 16:32:28,74,Brooklyn,142,Queens,3.77,21.9,35.81,0.0,1.0
2,2024-04-30 20:49:00,2024-04-30 21:03:44,93,Brooklyn,112,Queens,8.05,32.4,39.9,0.0,1.0
2,2024-04-12 16:33:06,2024-04-12 16:35:17,75,Brooklyn,75,Brooklyn,0.6,5.1,9.1,0.0,1.0
2,2024-04-30 06:51:27,2024-04-30 06:54:43,166,Brooklyn,238,Manhattan,1.6,8.6,12.12,0.0,1.0
2,2024-04-25 11:33:13,2024-04-25 11:33:20,193,Manhattan,193,Manhattan,0.0,3.0,4.5,0.0,1.0
2,2024-04-04 11:35:19,2024-04-04 11:45:59,260,Manhattan,138,Queens,3.88,18.4,29.88,0.0,1.0
1,2024-04-03 23:46:06,2024-04-03 23:51:52,65,Brooklyn,25,Manhattan,0.7,7.2,11.6,0.0,1.0
1,2024-04-28 17:51:22,2024-04-28 18:03:33,65,Brooklyn,40,Manhattan,1.7,12.8,20.15,0.0,1.0
2,2024-04-20 02:00:43,2024-04-20 02:00:46,179,Queens,264,Manhattan,0.0,11.0,14.4,0.0,1.0
2,2024-04-26 11:30:59,2024-04-26 11:40:46,74,Brooklyn,263,Manhattan,1.96,11.4,19.56,0.0,1.0
2,2024-04-11 20:37:03,2024-04-11 20:48:34,43,Bronx,163,Brooklyn,2.2,13.5,22.5,0.0,1.0
2,2024-04-18 16:04:58,2024-04-18 16:05:00,244,Manhattan,264,Manhattan,0.0,3.0,4.5,0.0,2.0
1,2024-04-30 11:04:34,2024-04-30 11:39:01,51,Brooklyn,243,Manhattan,0.0,34.5,36.0,0.0,1.0
2,2024-04-14 02:46:56,2024-04-14 02:55:13,260,Manhattan,138,Queens,4.11,17.7,25.2,0.0,1.0
1,2024-04-20 10:44:31,2024-04-20 10:49:56,241,Manhattan,31,Manhattan,0.6,7.2,10.01,0.0,1.0
2,2024-04-04 18:24:26,2024-04-04 18:35:44,75,Brooklyn,239,Manhattan,1.94,13.5,25.31,0.0,1.0
1,2024-04-17 15:57:13,2024-04-17 16:21:04,65,Brooklyn,188,Queens,2.8,21.9,31.05,0.0,1.0
1,2024-04-09 08:03:57,2024-04-09 08:40:09,51,Brooklyn,95,Brooklyn,0.0,36.5,44.94,6.94,1.0
2,2024-04-14 15:16:44,2024-04-14 15:28:38,95,Brooklyn,160,Queens,2.12,14.2,19.62,0.0,1.0
2,2024-04-17 14:37:47,2024-04-17 14:49:42,65,Brooklyn,49,Brooklyn,1.35,12.1,14.6,0.0,1.0
2,2024-04-15 11:37:07,2024-04-15 11:48:42,74,Brooklyn,166,Brooklyn,1.74,12.8,16.44,0.0,1.0
2,2024-04-23 20:17:45,2024-04-23 20:29:15,43,Bronx,262,Manhattan,1.84,12.8,21.66,0.0,1.0
2,2024-04-28 01:51:00,2024-04-28 02:12:45,157,Queens,61,Brooklyn,4.54,49.0,57.5,0.0,1.0
2,2024-04-23 14:53:09,2024-04-23 15:07:30,116,Queens,41,Manhattan,2.04,14.9,16.4,0.0,2.0
2,2024-04-14 17:34:41,2024-04-14 18:14:15,7,Manhattan,132,Queens,14.54,70.0,73.0,0.0,1.0
2,2024-04-23 23:23:28,2024-04-23 23:35:24,130,Queens,93,Brooklyn,0.09,10.7,13.2,0.0,2.0
2,2024-04-15 19:17:01,2024-04-15 19:25:16,74,Brooklyn,236,Queens,1.52,10.0,15.3,0.0,1.0
2,2024-04-26 14:55:31,2024-04-26 15:03:25,74,Brooklyn,41,Manhattan,1.11,9.3,10.8,0.0,1.0
2,2024-04-24 08:10:16,2024-04-24 08:25:13,74,Brooklyn,75,Brooklyn,1.34,14.2,18.84,0.0,1.0
2,2024-04-26 15:17:11,2024-04-26 15:25:33,75,Brooklyn,24,Manhattan,0.92,8.6,10.1,0.0,2.0
2,2024-04-09 21:44:46,2024-04-09 21:57:01,130,Queens,132,Queens,4.95,21.9,24.4,0.0,2.0
1,2024-04-01 16:21:54,2024-04-01 17:08:51,80,Brooklyn,203,Manhattan,0.0,46.5,48.0,0.0,1.0
2,2024-04-05 13:49:50,2024-04-05 14:00:57,75,Brooklyn,24,Manhattan,1.62,12.1,16.32,0.0,1.0
2,2024-04-28 22:46:20,2024-04-28 23:04:49,7,Manhattan,198,Manhattan,6.15,27.5,30.0,0.0,2.0
2,2024-04-28 19:13:04,2024-04-28 19:36:37,33,Brooklyn,68,Brooklyn,4.74,26.1,36.42,0.0,1.0
2,2024-04-26 12:52:30,2024-04-26 13:46:35,34,Manhattan,26,Manhattan,7.54,47.1,48.6,0.0,1.0
2,2024-04-18 18:50:21,2024-04-18 18:54:23,41,Manhattan,42,Manhattan,1.27,7.2,13.44,0.0,1.0
2,2024-04-22 17:40:25,2024-04-22 17:57:38,41,Manhattan,244,Manhattan,2.47,17.0,26.25,0.0,1.0
2,2024-04-02 20:51:36,2024-04-02 21:00:16,65,Brooklyn,97,Brooklyn,1.29,10.0,15.0,0.0,1.0
2,2024-04-08 20:43:00,2024-04-08 20:53:00,74,Brooklyn,24,Manhattan,1.87,15.43,18.82,0.0,
2,2024-04-20 10:01:24,2024-04-20 10:13:10,41,Manhattan,142,Queens,2.63,14.2,22.14,0.0,1.0
2,2024-04-25 10:21:29,2024-04-25 10:31:28,42,Manhattan,74,Brooklyn,1.5,11.4,15.48,0.0,1.0
2,2024-04-01 09:31:10,2024-04-01 09:42:23,75,Brooklyn,140,Queens,2.13,12.8,19.05,0.0,1.0
2,2024-04-14 16:06:44,2024-04-14 16:15:04,74,Brooklyn,236,Queens,1.46,10.0,14.38,0.0,1.0
2,2024-04-02 14:15:19,2024-04-02 14:26:48,134,Queens,134,Queens,0.91,11.4,15.48,0.0,1.0
2,2024-04-18 22:03:26,2024-04-18 22:37:59,17,Manhattan,246,Manhattan,6.26,35.2,40.45,0.0,1.0
2,2024-04-25 17:19:38,2024-04-25 17:45:31,75,Brooklyn,224,Manhattan,5.02,24.7,37.74,0.0,1.0
2,2024-04-11 22:11:05,2024-04-11 22:24:46,166,Brooklyn,142,Queens,2.68,16.3,21.32,0.0,1.0
2,2024-04-18 07:16:42,2024-04-18 07:38:55,74,Brooklyn,43,Bronx,1.34,18.4,23.88,0.0,1.0
2,2024-04-11 17:18:03,2024-04-11 17:36:36,97,Brooklyn,66,Brooklyn,1.84,17.0,25.2,0.0,1.0
2,2024-04-27 22:36:10,2024-04-27 22:58:54,166,Brooklyn,249,Manhattan,6.27,30.3,44.44,0.0,1.0
2,2024-04-11 17:19:20,2024-04-11 17:31:04,75,Brooklyn,74,Brooklyn,1.86,12.8,17.8,0.0,1.0
2,2024-04-10 23:03:43,2024-04-10 23:11:59,260,Manhattan,7,Manhattan,1.38,10.0,12.5,0.0,2.0
2,2024-04-14 15:44:30,2024-04-14 15:53:21,74,Brooklyn,75,Brooklyn,1.21,10.0,10.8,0.0,2.0
2,2024-04-17 12:58:08,2024-04-17 13:03:35,236,Queens,236,Queens,0.86,7.9,12.15,0.0,2.0
2,2024-04-22 08:54:00,2024-04-22 09:03:00,145,Queens,193,Manhattan,1.74,12.52,14.52,0.0,
2,2024-04-30 21:28:49,2024-04-30 22:01:08,93,Brooklyn,181,Brooklyn,16.76,63.9,76.36,0.0,1.0
1,2024-04-29 07:48:55,2024-04-29 07:55:14,49,Brooklyn,189,Queens,0.0,16.5,18.0,0.0,1.0
2,2024-04-27 09:54:48,2024-04-27 10:01:27,166,Brooklyn,152,Queens,1.09,8.6,12.12,0.0,1.0
2,2024-04-12 11:22:41,2024-04-12 11:48:13,75,Brooklyn,32,Manhattan,8.86,38.0,39.5,0.0,2.0
2,2024-04-30 06:55:34,2024-04-30 07:10:23,74,Brooklyn,141,Queens,3.34,17.7,24.58,0.0,1.0
2,2024-04-23 13:21:44,2024-04-23 13:27:30,74,Brooklyn,74,Brooklyn,0.61,7.2,8.7,0.0,2.0
2,2024-04-21 11:41:03,2024-04-21 11:51:07,24,Manhattan,239,Manhattan,1.71,12.1,21.25,0.0,1.0
2,2024-04-27 19:57:23,2024-04-27 20:12:50,74,Brooklyn,238,Manhattan,2.73,17.0,25.5,0.0,1.0
2,2024-04-09 00:25:11,2024-04-09 00:32:51,42,Manhattan,24,Manhattan,1.83,11.4,13.9,0.0,1.0
2,2024-04-02 00:18:27,2024-04-02 00:34:42,65,Brooklyn,227,Manhattan,4.61,23.3,32.25,0.0,1.0
2,2024-04-03 14:01:25,2024-04-03 14:08:08,7,Manhattan,193,Manhattan,1.02,7.9,11.28,0.0,1.0
2,2024-04-22 08:59:28,2024-04-22 09:13:51,41,Manhattan,163,Brooklyn,3.56,18.4,27.18,0.0,1.0
2,2024-04-04 15:31:16,2024-04-04 15:35:51,244,Manhattan,244,Manhattan,1.0,10.0,13.0,0.0,1.0
2,2024-04-09 12:48:50,2024-04-09 12:58:58,95,Brooklyn,135,Queens,2.57,13.5,16.0,0.0,1.0
2,2024-04-10 19:02:15,2024-04-10 19:13:47,97,Brooklyn,97,Brooklyn,1.32,11.4,18.48,0.0,1.0
2,2024-04-01 12:52:09,2024-04-01 13:04:54,166,Brooklyn,143,Queens,2.74,14.9,20.11,0.0,1.0
2,2024-04-02 07:14:41,2024-04-02 07:25:57,74,Brooklyn,166,Brooklyn,1.78,12.8,14.73,0.0,1.0
1,2024-04-11 17:18:35,2024-04-11 17:21:42,75,Brooklyn,238,Manhattan,0.8,5.8,11.75,0.0,1.0
2,2024-04-09 08:15:01,2024-04-09 08:33:52,74,Brooklyn,262,Manhattan,2.76,18.4,22.65,0.0,1.0
2,2024-04-03 14:09:39,2024-04-03 14:17:00,75,Brooklyn,236,Queens,0.93,8.6,15.42,0.0,1.0
2,2024-04-19 09:15:00,2024-04-19 09:20:30,41,Manhattan,74,Brooklyn,0.77,7.2,8.7,0.0,2.0
2,2024-04-19 10:55:24,2024-04-19 11:06:54,75,Brooklyn,140,Queens,1.93,12.8,20.46,0.0,1.0
2,2024-04-12 18:16:44,2024-04-12 18:23:50,95,Brooklyn,28,Manhattan,1.67,10.0,16.0,0.0,1.0
2,2024-04-11 19:42:03,2024-04-11 19:52:20,83,Brooklyn,7,Manhattan,2.75,13.5,18.5,0.0,1.0
2,2024-04-12 14:24:13,2024-04-12 14:42:33,207,Manhattan,207,Manhattan,0.0,15.6,17.1,0.0,2.0
2,2024-04-05 11:13:00,2024-04-05 11:47:37,74,Brooklyn,230,Manhattan,6.8,38.7,51.54,0.0,1.0
2,2024-04-16 20:21:12,2024-04-16 20:40:28,82,Brooklyn,70,Brooklyn,2.43,19.1,21.6,0.0,2.0
2,2024-04-03 18:21:34,2024-04-03 18:44:23,74,Brooklyn,74,Brooklyn,3.64,23.3,32.76,0.0,1.0
1,2024-04-05 01:20:48,2024-04-05 01:31:22,181,Brooklyn,66,Brooklyn,1.8,12.1,17.5,0.0,1.0
1,2024-04-04 15:00:33,2024-04-04 15:05:34,72,Brooklyn,35,Manhattan,0.0,14.5,16.0,0.0,1.0
2,2024-04-17 21:15:48,2024-04-17 21:34:09,7,Manhattan,70,Brooklyn,4.4,15.0,16.0,0.0,2.0
2,2024-04-07 22:19:09,2024-04-07 22:25:29,260,Manhattan,226,Manhattan,0.89,7.9,10.4,0.0,2.0
2,2024-04-21 10:16:06,2024-04-21 10:19:28,65,Brooklyn,97,Brooklyn,0.42,5.1,9.6,0.0,1.0
1,2024-04-17 12:07:57,2024-04-17 12:44:53,97,Brooklyn,76,Brooklyn,0.0,25.5,27.0,0.0,1.0
2,2024-04-09 15:06:46,2024-04-09 15:16:42,74,Brooklyn,236,Queens,1.56,11.4,20.35,0.0,1.0
2,2024-04-03 12:39:16,2024-04-03 12:55:18,74,Brooklyn,151,Queens,2.38,16.3,21.36,0.0,1.0
2,2024-04-05 21:09:03,2024-04-05 21:18:22,75,Brooklyn,262,Manhattan,1.4,10.7,19.94,0.0,1.0
2,2024-04-23 09:37:35,2024-04-23 09:45:22,166,Brooklyn,41,Manhattan,1.4,10.0,11.5,0.0,2.0
2,2024-04-13 15:40:15,2024-04-13 15:58:41,166,Brooklyn,142,Queens,2.95,19.1,28.02,0.0,1.0
2,2024-04-16 13:47:53,2024-04-16 14:26:29,244,Manhattan,233,Manhattan,8.86,47.1,51.35,0.0,2.0
1,2024-04-24 09:25:25,2024-04-24 10:02:42,69,Brooklyn,261,Manhattan,0.0,39.5,47.94,6.94,1.0
2,2024-04-03 18:24:51,2024-04-03 18:35:01,82,Brooklyn,129,Queens,1.48,11.4,18.48,0.0,1.0
2,2024-04-03 09:29:52,2024-04-03 09:37:12,41,Manhattan,42,Manhattan,1.06,9.3,10.8,0.0,1.0
2,2024-04-17 16:24:28,2024-04-17 16:31:48,82,Brooklyn,129,Queens,1.04,8.6,16.38,0.0,1.0
2,2024-04-14 14:20:07,2024-04-14 14:30:24,95,Brooklyn,135,Queens,2.27,13.5,18.0,0.0,1.0
2,2024-04-28 10:10:30,2024-04-28 10:18:28,74,Brooklyn,42,Manhattan,1.13,9.3,10.8,0.0,2.0
2,2024-04-02 15:34:06,2024-04-02 15:48:54,223,Manhattan,138,Queens,3.56,18.4,29.88,0.0,1.0
2,2024-04-10 00:00:53,2024-04-10 00:14:59,190,Queens,89,Brooklyn,3.01,16.3,22.56,0.0,1.0
2,2024-04-02 20:39:05,2024-04-02 20:46:40,43,Bronx,262,Manhattan,1.11,8.6,16.62,0.0,1.0
2,2024-04-17 19:49:30,2024-04-17 19:58:58,95,Brooklyn,135,Queens,1.38,10.7,18.38,0.0,1.0
2,2024-04-14 20:34:30,2024-04-14 20:41:50,74,Brooklyn,236,Queens,1.47,9.3,11.8,0.0,2.0
2,2024-04-23 14:40:32,2024-04-23 14:55:39,43,Bronx,237,Manhattan,1.58,14.2,18.45,0.0,2.0
1,2024-04-21 19:01:19,2024-04-21 19:11:38,75,Brooklyn,74,Brooklyn,1.6,10.7,13.4,0.0,1.0
2,2024-04-24 23:36:54,2024-04-24 23:50:34,74,Brooklyn,151,Queens,2.38,15.6,19.0,0.0,1.0
1,2024-04-06 13:24:10,2024-04-06 13:44:04,7,Manhattan,237,Manhattan,3.5,21.2,25.45,0.0,2.0
2,2024-04-28 14:00:57,2024-04-28 14:10:22,116,Queens,151,Queens,1.95,12.1,16.32,0.0,1.0
2,2024-04-01 06:58:02,2024-04-01 07:08:49,74,Brooklyn,43,Bronx,1.4,11.4,15.48,0.0,1.0
2,2024-04-19 15:44:58,2024-04-19 15:55:24,75,Brooklyn,42,Manhattan,1.94,12.1,17.0,0.0,1.0
2,2024-04-03 19:38:55,2024-04-03 19:44:50,43,Bronx,151,Queens,1.6,9.3,15.3,0.0,1.0
2,2024-04-11 19:38:18,2024-04-11 20:02:08,97,Brooklyn,188,Queens,2.96,21.9,31.08,0.0,1.0
2,2024-04-07 01:26:52,2024-04-07 01:40:42,80,Brooklyn,179,Queens,6.74,40.0,41.89,0.0,1.0
2,2024-04-23 15:40:51,2024-04-23 15:48:47,75,Brooklyn,74,Brooklyn,1.43,10.0,13.8,0.0,1.0
2,2024-04-04 15:21:19,2024-04-04 15:31:32,75,Brooklyn,41,Manhattan,1.41,11.4,12.9,0.0,2.0
2,2024-04-25 17:48:30,2024-04-25 18:03:09,95,Brooklyn,121,Queens,2.83,16.3,20.3,0.0,2.0
2,2024-04-27 08:36:02,2024-04-27 08:36:07,152,Queens,152,Queens,0.0,3.0,4.5,0.0,2.0
2,2024-04-27 18:42:44,2024-04-27 18:49:43,74,Brooklyn,42,Manhattan,1.35,9.3,12.1,0.0,1.0
1,2024-04-21 16:09:29,2024-04-21 16:37:42,260,Manhattan,73,Brooklyn,0.0,29.5,31.0,0.0,1.0
1,2024-04-26 14:29:24,2024-04-26 14:51:07,244,Manhattan,238,Manhattan,5.9,26.8,31.05,0.0,2.0
