VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-10-07 11:54:59,2021-10-07 12:03:11,42,Manhattan,159,Queens,1.26,7.5,8.3,0.0,2.0
2,2021-10-25 06:57:59,2021-10-25 07:03:35,75,Brooklyn,74,Brooklyn,1.59,7.0,9.75,0.0,1.0
2,2021-10-01 23:32:47,2021-10-01 23:59:29,255,Manhattan,37,Manhattan,4.05,18.5,23.76,0.0,1.0
2,2021-10-21 16:47:39,2021-10-21 17:21:50,166,Brooklyn,233,Manhattan,5.03,23.0,27.55,0.0,2.0
2,2021-10-29 14:55:00,2021-10-29 15:37:00,146,Queens,93,Brooklyn,5.74,25.84,31.96,0.0,
2,2021-10-12 09:08:00,2021-10-12 09:35:00,89,Brooklyn,10,Manhattan,0.01,48.11,51.16,0.0,
2,2021-10-08 12:54:39,2021-10-08 13:10:39,74,Brooklyn,140,Queens,3.72,14.5,18.05,0.0,1.0
2,2021-10-16 13:00:18,2021-10-16 13:20:21,74,Brooklyn,43,Bronx,4.08,16.0,19.55,0.0,2.0
2,2021-10-11 06:21:00,2021-10-11 06:47:00,35,Manhattan,21,Manhattan,11.0,31.9,34.95,0.0,
2,2021-10-21 16:41:10,2021-10-21 16:53:44,75,Brooklyn,262,Manhattan,1.99,10.5,18.06,0.0,1.0
2,2021-10-09 21:59:38,2021-10-09 22:14:48,168,Queens,69,Brooklyn,2.3,12.0,12.3,0.0,2.0
2,2021-10-25 09:14:52,2021-10-25 09:31:30,7,Manhattan,129,Queens,2.43,12.5,13.3,0.0,2.0
2,2021-10-17 13:04:00,2021-10-17 13:38:00,82,Brooklyn,130,Queens,7.52,36.62,39.67,0.0,
2,2021-10-22 20:17:28,2021-10-22 21:26:06,38,Manhattan,219,Manhattan,30.92,87.5,95.35,6.55,1.0
2,2021-10-05 20:50:45,2021-10-05 20:58:31,134,Queens,216,Manhattan,3.69,12.0,16.62,0.0,1.0
1,2021-10-24 23:35:06,2021-10-24 23:44:58,74,Brooklyn,166,Brooklyn,1.8,8.5,9.8,0.0,4.0
2,2021-10-03 20:21:00,2021-10-03 20:24:00,74,Brooklyn,74,Brooklyn,0.44,11.95,15.0,0.0,
