VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-12-15 12:33:25,2021-12-15 12:44:32,33,Brooklyn,25,Manhattan,0.95,8.5,9.3,0.0,2.0
1,2021-12-03 12:58:42,2021-12-03 13:19:41,127,Queens,41,Manhattan,5.8,21.0,21.8,0.0,2.0
2,2021-12-08 13:58:01,2021-12-08 14:35:38,95,Brooklyn,88,Brooklyn,15.07,45.0,68.88,6.55,1.0
1,2021-12-16 09:11:14,2021-12-16 09:31:16,116,Queens,47,Manhattan,4.2,16.5,17.3,0.0,2.0
2,2021-12-04 18:36:28,2021-12-04 18:50:13,74,Brooklyn,237,Manhattan,2.84,11.0,14.55,0.0,2.0
2,2021-12-02 20:07:06,2021-12-02 20:20:02,134,Queens,216,Manhattan,4.52,14.5,18.96,0.0,1.0
2,2021-12-27 13:59:14,2021-12-27 14:08:35,42,Manhattan,69,Brooklyn,1.27,8.0,8.8,0.0,2.0
2,2021-12-03 08:18:08,2021-12-03 08:31:32,129,Queens,82,Brooklyn,1.42,9.5,10.3,0.0,2.0
2,2021-12-29 17:12:29,2021-12-29 17:25:09,97,Brooklyn,181,Brooklyn,1.31,9.0,12.96,0.0,1.0
1,2021-12-12 15:00:44,2021-12-12 15:23:43,65,Brooklyn,228,Manhattan,4.4,18.0,18.8,0.0,2.0
2,2021-12-21 11:04:37,2021-12-21 11:18:15,75,Brooklyn,237,Manhattan,1.94,11.0,17.46,0.0,1.0
2,2021-12-30 01:33:21,2021-12-30 01:43:14,74,Brooklyn,151,Queens,2.41,10.0,13.56,0.0,1.0
2,2021-12-10 20:21:41,2021-12-10 20:28:09,49,Brooklyn,97,Brooklyn,1.1,6.5,10.0,0.0,1.0
2,2021-12-07 23:20:07,2021-12-07 23:26:27,92,Brooklyn,73,Brooklyn,1.23,6.5,9.75,0.0,1.0
1,2021-12-17 23:32:15,2021-12-17 23:41:57,74,Brooklyn,237,Manhattan,3.1,10.5,18.15,0.0,1.0
2,2021-12-21 06:58:16,2021-12-21 07:03:50,41,Manhattan,42,Manhattan,1.0,6.0,8.84,0.0,1.0
2,2021-12-19 14:40:38,2021-12-19 14:44:09,41,Manhattan,74,Brooklyn,0.61,4.5,5.3,0.0,2.0
2,2021-12-15 11:56:00,2021-12-15 12:23:00,50,Brooklyn,18,Manhattan,10.65,46.15,49.2,0.0,
