VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-03-06 17:35:50,2021-03-06 18:26:02,42,Manhattan,42,Manhattan,2.72,26.0,26.8,0.0,2.0
2,2021-03-19 22:12:46,2021-03-19 22:18:30,95,Brooklyn,102,Brooklyn,1.86,7.5,8.8,0.0,1.0
2,2021-03-29 18:31:00,2021-03-29 18:43:00,77,Brooklyn,63,Brooklyn,1.91,15.43,18.48,0.0,
2,2021-03-12 12:04:18,2021-03-12 12:14:09,244,Manhattan,116,Queens,1.71,8.5,9.3,0.0,2.0
2,2021-03-23 13:49:07,2021-03-23 14:01:44,134,Queens,138,Queens,6.21,19.0,24.75,0.0,1.0
2,2021-03-27 14:23:00,2021-03-27 14:34:59,244,Manhattan,243,Manhattan,1.8,9.5,12.88,0.0,1.0
2,2021-03-01 11:27:00,2021-03-01 12:09:00,82,Brooklyn,29,Manhattan,21.95,64.18,67.23,0.0,
2,2021-03-17 09:51:02,2021-03-17 10:02:00,130,Queens,122,Queens,2.24,10.5,11.3,0.0,2.0
1,2021-03-25 17:07:32,2021-03-25 17:24:21,65,Brooklyn,61,Brooklyn,2.3,12.5,17.15,0.0,1.0
1,2021-03-19 22:46:21,2021-03-19 22:58:40,82,Brooklyn,53,Brooklyn,5.9,18.0,19.3,0.0,1.0
2,2021-03-18 13:32:00,2021-03-18 14:43:00,3,Manhattan,71,Brooklyn,20.69,68.42,77.59,6.12,
2,2021-03-26 12:48:25,2021-03-26 13:05:50,75,Brooklyn,42,Manhattan,3.56,14.5,15.3,0.0,2.0
2,2021-03-23 17:31:34,2021-03-23 17:42:29,236,Queens,237,Manhattan,1.72,9.5,17.56,0.0,1.0
2,2021-03-15 08:41:08,2021-03-15 08:46:23,75,Brooklyn,74,Brooklyn,1.19,6.5,7.3,0.0,2.0
2,2021-03-19 17:04:00,2021-03-19 17:35:00,35,Manhattan,82,Brooklyn,6.99,46.15,49.2,0.0,
2,2021-03-06 12:30:00,2021-03-06 12:37:00,94,Brooklyn,169,Queens,0.69,17.59,20.64,0.0,
2,2021-03-21 08:39:00,2021-03-21 08:56:00,72,Brooklyn,222,Manhattan,2.81,13.29,13.59,0.0,
2,2021-03-11 13:25:16,2021-03-11 13:33:19,74,Brooklyn,75,Brooklyn,1.11,7.0,7.8,0.0,2.0
2,2021-03-11 13:54:40,2021-03-11 13:56:07,166,Brooklyn,166,Brooklyn,0.23,3.0,6.8,0.0,1.0
2,2021-03-15 09:30:00,2021-03-15 09:35:00,151,Queens,75,Brooklyn,1.16,20.46,23.51,0.0,
1,2021-03-17 10:04:56,2021-03-17 10:05:06,33,Brooklyn,33,Brooklyn,9.7,2.5,3.3,0.0,3.0
1,2021-03-21 11:31:39,2021-03-21 11:52:29,174,Queens,42,Manhattan,0.0,20.2,21.0,0.0,1.0
2,2021-03-10 10:51:33,2021-03-10 11:02:26,74,Brooklyn,236,Queens,2.01,9.5,13.05,0.0,1.0
2,2021-03-21 14:53:00,2021-03-21 14:59:00,247,Manhattan,42,Manhattan,1.07,16.85,18.5,0.0,
2,2021-03-04 10:56:55,2021-03-04 11:08:40,41,Manhattan,238,Manhattan,1.71,9.5,13.39,0.0,1.0
2,2021-03-14 10:16:54,2021-03-14 10:23:11,41,Manhattan,42,Manhattan,1.15,7.0,7.8,0.0,2.0
2,2021-03-23 15:15:52,2021-03-23 15:52:29,97,Brooklyn,223,Manhattan,9.06,31.0,31.8,0.0,2.0
2,2021-03-09 17:47:57,2021-03-09 18:07:20,75,Brooklyn,166,Brooklyn,2.94,15.0,21.0,0.0,1.0
2,2021-03-09 16:09:52,2021-03-09 16:11:47,167,Queens,159,Queens,0.26,3.5,5.3,0.0,2.0
2,2021-03-25 07:48:38,2021-03-25 07:54:36,166,Brooklyn,238,Manhattan,1.61,7.0,9.0,0.0,1.0
2,2021-03-18 12:49:04,2021-03-18 12:51:20,166,Brooklyn,24,Manhattan,0.41,4.0,6.8,0.0,1.0
2,2021-03-05 15:31:26,2021-03-05 16:38:52,78,Brooklyn,244,Manhattan,16.82,60.5,61.3,0.0,2.0
2,2021-03-19 16:50:42,2021-03-19 17:11:33,181,Brooklyn,89,Brooklyn,2.76,14.5,20.38,0.0,1.0
2,2021-03-18 14:34:41,2021-03-18 15:00:24,43,Bronx,138,Queens,7.99,25.5,40.52,6.12,1.0
2,2021-03-19 16:23:07,2021-03-19 16:55:31,95,Brooklyn,76,Brooklyn,10.12,31.5,33.3,0.0,1.0
2,2021-03-15 19:22:45,2021-03-15 19:32:59,82,Brooklyn,83,Brooklyn,1.37,8.0,9.8,0.0,2.0
2,2021-03-09 08:08:40,2021-03-09 08:14:13,42,Manhattan,168,Queens,0.96,6.0,6.8,0.0,2.0
2,2021-03-27 14:34:00,2021-03-27 15:06:00,33,Brooklyn,123,Queens,7.86,31.67,34.72,0.0,
2,2021-03-02 18:24:00,2021-03-02 19:04:00,181,Brooklyn,82,Brooklyn,11.2,48.85,51.9,0.0,
2,2021-03-07 12:49:27,2021-03-07 13:02:40,166,Brooklyn,142,Queens,3.2,12.5,19.26,0.0,1.0
2,2021-03-17 13:27:00,2021-03-17 14:05:00,195,Manhattan,39,Manhattan,7.46,30.99,34.04,0.0,
