VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2022-09-09 19:38:27,2022-09-09 20:21:18,43,Bronx,228,Manhattan,14.21,41.5,60.49,6.55,1.0
2,2022-09-30 17:13:00,2022-09-30 17:51:00,85,Brooklyn,132,Queens,12.17,43.88,54.28,0.0,
1,2022-09-09 11:03:10,2022-09-09 11:10:32,75,Brooklyn,74,Brooklyn,1.4,7.0,7.8,0.0,3.0
2,2022-09-01 07:44:35,2022-09-01 07:56:04,130,Queens,121,Queens,2.31,10.5,13.56,0.0,1.0
2,2022-09-27 15:35:59,2022-09-27 15:41:22,228,Manhattan,227,Manhattan,1.25,6.0,8.84,0.0,1.0
2,2022-09-14 11:16:11,2022-09-14 11:29:05,166,Brooklyn,236,Queens,2.35,11.0,14.55,0.0,2.0
2,2022-09-03 10:26:22,2022-09-03 10:36:50,74,Brooklyn,238,Manhattan,2.42,10.0,13.55,0.0,2.0
2,2022-09-12 08:22:09,2022-09-12 08:28:57,74,Brooklyn,75,Brooklyn,1.39,6.5,8.4,0.0,1.0
1,2022-09-05 16:54:42,2022-09-05 17:16:34,220,Manhattan,220,Manhattan,0.0,15.2,16.0,0.0,1.0
2,2022-09-29 21:30:00,2022-09-29 21:33:00,181,Brooklyn,257,Manhattan,0.59,9.9,12.57,0.0,
2,2022-09-25 23:23:05,2022-09-25 23:23:07,173,Queens,173,Queens,0.0,15.0,15.34,0.0,1.0
2,2022-09-07 18:36:07,2022-09-07 19:02:50,75,Brooklyn,244,Manhattan,4.65,19.5,23.0,0.0,1.0
2,2022-09-13 12:27:09,2022-09-13 12:29:21,75,Brooklyn,75,Brooklyn,0.33,3.5,4.3,0.0,2.0
2,2022-09-15 14:18:18,2022-09-15 14:31:19,43,Bronx,263,Manhattan,1.95,10.5,16.86,0.0,1.0
2,2022-09-11 22:06:27,2022-09-11 22:29:40,92,Brooklyn,216,Manhattan,7.59,40.0,48.36,0.0,1.0
2,2022-09-20 14:41:15,2022-09-20 14:49:47,74,Brooklyn,42,Manhattan,1.21,7.5,10.38,0.0,1.0
2,2022-09-04 16:10:51,2022-09-04 16:25:06,130,Queens,205,Manhattan,3.06,12.5,15.96,0.0,1.0
2,2022-09-21 13:17:00,2022-09-21 13:56:45,74,Brooklyn,113,Queens,8.0,29.0,34.55,0.0,1.0
2,2022-09-01 15:31:23,2022-09-01 15:39:22,166,Brooklyn,74,Brooklyn,1.16,6.5,9.49,0.0,1.0
2,2022-09-22 13:17:48,2022-09-22 13:56:23,7,Manhattan,141,Queens,2.94,22.5,26.05,0.0,2.0
2,2022-09-07 17:30:44,2022-09-07 17:43:09,49,Brooklyn,97,Brooklyn,1.08,9.0,13.5,0.0,1.0
2,2022-09-22 09:33:22,2022-09-22 09:47:15,74,Brooklyn,166,Brooklyn,1.6,10.0,13.8,0.0,1.0
2,2022-09-24 21:35:50,2022-09-24 21:45:56,74,Brooklyn,116,Queens,2.02,9.0,12.3,0.0,1.0
1,2022-09-06 18:20:44,2022-09-06 18:37:14,74,Brooklyn,151,Queens,2.8,13.0,18.5,0.0,1.0
2,2022-09-12 12:19:27,2022-09-12 12:40:03,130,Queens,177,Queens,6.9,22.5,23.3,0.0,2.0
2,2022-09-05 00:58:05,2022-09-05 01:16:50,93,Brooklyn,145,Queens,7.38,23.5,24.8,0.0,2.0
2,2022-09-06 06:44:31,2022-09-06 06:57:36,196,Manhattan,173,Queens,2.14,10.0,10.8,0.0,2.0
2,2022-09-03 13:38:19,2022-09-03 13:51:03,97,Brooklyn,17,Manhattan,1.98,10.0,12.96,0.0,1.0
2,2022-09-17 18:04:01,2022-09-17 18:41:10,196,Manhattan,197,Manhattan,5.15,26.0,26.8,0.0,2.0
2,2022-09-04 16:01:05,2022-09-04 16:05:15,74,Brooklyn,41,Manhattan,0.79,4.5,5.3,0.0,2.0
2,2022-09-11 01:15:00,2022-09-11 01:23:00,181,Brooklyn,189,Queens,1.45,15.9,19.97,0.0,
2,2022-09-21 19:58:19,2022-09-21 20:18:16,95,Brooklyn,179,Queens,8.31,25.5,29.5,0.0,1.0
2,2022-09-21 14:01:55,2022-09-21 14:08:46,75,Brooklyn,238,Manhattan,0.86,6.5,12.06,0.0,1.0
2,2022-09-28 20:31:02,2022-09-28 20:59:28,69,Brooklyn,167,Queens,2.84,10.0,10.3,0.0,2.0
1,2022-09-08 19:07:52,2022-09-08 19:13:11,75,Brooklyn,74,Brooklyn,1.4,6.5,9.55,0.0,1.0
2,2022-09-01 00:25:31,2022-09-01 00:35:08,42,Manhattan,24,Manhattan,2.11,9.5,12.96,0.0,1.0
2,2022-09-23 12:22:47,2022-09-23 12:33:14,43,Bronx,239,Manhattan,1.96,9.0,15.06,0.0,1.0
2,2022-09-14 21:39:29,2022-09-14 21:56:11,52,Brooklyn,256,Manhattan,5.13,17.5,22.56,0.0,1.0
2,2022-09-26 19:26:35,2022-09-26 19:36:36,75,Brooklyn,41,Manhattan,1.76,9.0,14.04,0.0,1.0
2,2022-09-22 14:52:12,2022-09-22 14:58:21,95,Brooklyn,134,Queens,0.87,6.0,6.8,0.0,2.0
2,2022-09-21 10:59:36,2022-09-21 11:05:19,80,Brooklyn,80,Brooklyn,0.73,5.5,6.3,0.0,2.0
2,2022-09-27 17:38:26,2022-09-27 17:50:11,130,Queens,216,Manhattan,2.71,11.0,12.8,0.0,1.0
2,2022-09-13 10:40:00,2022-09-13 10:48:00,35,Manhattan,77,Brooklyn,1.31,10.0,11.3,0.0,
1,2022-09-16 22:24:27,2022-09-16 22:24:43,253,Manhattan,253,Manhattan,0.0,0.0,0.0,0.0,3.0
2,2022-09-18 14:40:27,2022-09-18 14:52:25,74,Brooklyn,262,Manhattan,2.42,10.5,14.05,0.0,2.0
2,2022-09-11 16:33:33,2022-09-11 16:43:04,41,Manhattan,42,Manhattan,1.42,8.0,8.8,0.0,2.0
2,2022-09-29 13:06:14,2022-09-29 13:12:12,166,Brooklyn,151,Queens,0.88,6.0,6.8,0.0,2.0
1,2022-09-29 16:21:15,2022-09-29 16:37:06,74,Brooklyn,24,Manhattan,2.0,11.5,16.6,0.0,1.0
2,2022-09-02 19:27:54,2022-09-02 19:44:20,244,Manhattan,41,Manhattan,3.37,14.0,18.96,0.0,1.0
2,2022-09-15 22:17:49,2022-09-15 22:26:00,82,Brooklyn,70,Brooklyn,3.13,11.0,12.3,0.0,2.0
2,2022-09-12 23:47:37,2022-09-12 23:55:46,82,Brooklyn,70,Brooklyn,2.9,10.5,14.16,0.0,1.0
1,2022-09-23 18:16:00,2022-09-23 18:21:53,75,Brooklyn,74,Brooklyn,0.8,6.0,7.8,0.0,2.0
2,2022-09-14 19:44:07,2022-09-14 19:48:51,95,Brooklyn,95,Brooklyn,1.11,5.5,9.49,0.0,1.0
2,2022-09-28 13:04:39,2022-09-28 13:25:54,74,Brooklyn,152,Queens,2.75,15.0,17.3,0.0,1.0
2,2022-09-30 15:14:42,2022-09-30 15:33:33,244,Manhattan,238,Manhattan,5.0,18.5,26.46,0.0,1.0
2,2022-09-16 06:44:55,2022-09-16 06:55:08,130,Queens,191,Queens,2.56,10.5,11.3,0.0,2.0
2,2022-09-03 14:44:04,2022-09-03 14:49:13,41,Manhattan,41,Manhattan,0.86,5.5,7.56,0.0,1.0
1,2022-09-10 16:49:36,2022-09-10 17:11:44,94,Brooklyn,243,Manhattan,2.3,14.5,15.3,0.0,2.0
2,2022-09-18 00:17:00,2022-09-18 00:50:00,112,Queens,89,Brooklyn,7.84,29.86,37.49,0.0,
2,2022-09-11 13:18:42,2022-09-11 13:30:31,95,Brooklyn,95,Brooklyn,1.38,9.5,12.36,0.0,1.0
2,2022-09-22 16:28:44,2022-09-22 16:35:42,74,Brooklyn,74,Brooklyn,0.3,6.0,7.8,0.0,2.0
2,2022-09-12 02:10:03,2022-09-12 02:18:41,7,Manhattan,223,Manhattan,1.47,7.5,8.8,0.0,2.0
2,2022-09-16 19:09:05,2022-09-16 19:22:30,75,Brooklyn,237,Manhattan,2.15,11.0,17.55,0.0,1.0
2,2022-09-12 01:14:00,2022-09-12 01:47:00,36,Manhattan,42,Manhattan,11.17,36.21,48.99,0.0,
2,2022-09-07 20:40:54,2022-09-07 20:50:56,82,Brooklyn,82,Brooklyn,1.28,8.0,9.3,0.0,2.0
1,2022-09-07 17:36:26,2022-09-07 18:22:42,33,Brooklyn,72,Brooklyn,0.0,26.2,27.0,0.0,1.0
2,2022-09-18 12:32:24,2022-09-18 13:06:47,74,Brooklyn,142,Queens,4.4,22.5,27.05,0.0,1.0
2,2022-09-06 14:54:29,2022-09-06 14:54:38,236,Queens,236,Queens,0.02,2.5,3.3,0.0,2.0
2,2022-09-06 07:20:50,2022-09-06 07:50:53,215,Manhattan,86,Brooklyn,7.92,27.0,27.8,0.0,2.0
1,2022-09-07 16:26:59,2022-09-07 17:00:08,74,Brooklyn,243,Manhattan,5.1,23.0,29.75,0.0,1.0
2,2022-09-27 08:14:16,2022-09-27 08:31:43,33,Brooklyn,229,Manhattan,7.19,21.5,100.05,0.0,1.0
2,2022-09-07 20:31:10,2022-09-07 20:34:04,75,Brooklyn,236,Queens,0.72,4.5,10.26,0.0,1.0
2,2022-09-03 20:24:48,2022-09-03 20:31:48,41,Manhattan,42,Manhattan,1.22,7.0,10.38,0.0,1.0
2,2022-09-05 19:24:36,2022-09-05 19:32:12,74,Brooklyn,75,Brooklyn,1.63,7.5,10.38,0.0,1.0
2,2022-09-01 22:21:18,2022-09-01 22:32:42,244,Manhattan,238,Manhattan,4.82,15.5,22.0,0.0,1.0
1,2022-09-24 12:22:28,2022-09-24 12:41:41,185,Queens,213,Manhattan,0.0,17.2,18.0,0.0,1.0
2,2022-09-26 10:19:41,2022-09-26 10:35:18,43,Bronx,140,Queens,2.58,12.5,19.26,0.0,1.0
1,2022-09-16 16:33:02,2022-09-16 17:13:35,75,Brooklyn,244,Manhattan,5.2,25.0,35.8,0.0,1.0
2,2022-09-25 11:06:35,2022-09-25 11:11:27,74,Brooklyn,236,Queens,1.96,7.0,12.13,0.0,1.0
2,2022-09-22 06:17:33,2022-09-22 06:27:09,179,Queens,7,Manhattan,1.64,8.5,9.3,0.0,2.0
2,2022-09-16 16:52:33,2022-09-16 17:12:04,95,Brooklyn,95,Brooklyn,1.81,13.0,14.8,0.0,2.0
2,2022-09-20 15:59:16,2022-09-20 16:19:29,74,Brooklyn,141,Queens,2.77,14.5,21.66,0.0,1.0
2,2022-09-04 14:37:46,2022-09-04 14:42:23,7,Manhattan,7,Manhattan,0.74,5.0,5.8,0.0,2.0
1,2022-09-21 09:48:15,2022-09-21 09:57:08,74,Brooklyn,75,Brooklyn,1.3,7.5,9.95,0.0,1.0
2,2022-09-18 16:29:24,2022-09-18 16:58:12,244,Manhattan,236,Queens,5.75,22.5,26.05,0.0,2.0
1,2022-09-20 19:07:31,2022-09-20 19:16:02,150,Queens,123,Queens,0.0,15.2,16.0,0.0,1.0
2,2022-09-01 11:51:48,2022-09-01 12:09:41,75,Brooklyn,229,Manhattan,2.57,13.0,19.86,0.0,1.0
