VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2024-07-11 13:11:47,2024-07-11 13:47:25,75,Brooklyn,243,Manhattan,5.44,33.8,35.3,0.0,2.0
2,2024-07-08 22:36:37,2024-07-08 22:52:38,74,Brooklyn,239,Manhattan,3.78,19.8,31.31,0.0,1.0
1,2024-07-20 18:11:05,2024-07-20 18:15:21,41,Manhattan,41,Manhattan,0.7,6.5,9.6,0.0,1.0
2,2024-07-27 22:48:47,2024-07-27 23:12:40,95,Brooklyn,146,Queens,8.87,37.3,51.74,0.0,1.0
2,2024-07-23 20:51:03,2024-07-23 21:21:47,119,Queens,40,Manhattan,14.12,54.8,72.06,0.0,1.0
2,2024-07-19 17:00:56,2024-07-19 17:14:32,95,Brooklyn,56,Brooklyn,3.38,17.7,21.7,0.0,1.0
2,2024-07-21 18:36:18,2024-07-21 18:46:05,74,Brooklyn,238,Manhattan,2.63,13.5,21.3,0.0,1.0
2,2024-07-01 21:07:03,2024-07-01 21:15:24,74,Brooklyn,159,Queens,1.73,10.7,13.2,0.0,2.0
2,2024-07-07 20:04:14,2024-07-07 20:14:39,74,Brooklyn,263,Manhattan,2.15,12.8,20.05,0.0,1.0
2,2024-07-16 10:50:55,2024-07-16 11:01:16,236,Queens,262,Manhattan,1.5,11.4,21.65,0.0,1.0
2,2024-07-31 16:05:36,2024-07-31 16:19:22,75,Brooklyn,42,Manhattan,2.35,14.9,18.9,0.0,2.0
1,2024-07-02 00:48:02,2024-07-02 00:51:09,166,Brooklyn,152,Queens,0.5,5.8,8.3,0.0,2.0
2,2024-07-25 13:50:23,2024-07-25 14:02:15,42,Manhattan,166,Brooklyn,1.93,13.5,15.0,0.0,1.0
2,2024-07-25 17:02:55,2024-07-25 17:03:22,74,Brooklyn,74,Brooklyn,0.0,-3.0,-7.0,0.0,3.0
2,2024-07-12 22:02:50,2024-07-12 22:17:24,74,Brooklyn,75,Brooklyn,2.03,13.5,17.0,0.0,1.0
2,2024-07-31 17:03:34,2024-07-31 17:21:20,74,Brooklyn,141,Queens,2.74,18.4,26.15,0.0,1.0
