VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-05-05 04:40:00,2021-05-05 04:57:00,116,Queens,20,Manhattan,5.56,26.14,29.19,0.0,
2,2021-05-17 14:42:51,2021-05-17 14:47:56,75,Brooklyn,74,Brooklyn,0.26,5.0,5.8,0.0,1.0
2,2021-05-17 19:49:06,2021-05-17 20:07:44,60,Brooklyn,235,Manhattan,4.12,16.0,16.3,0.0,2.0
2,2021-05-09 20:06:57,2021-05-09 20:23:18,74,Brooklyn,244,Manhattan,4.43,16.0,20.0,0.0,1.0
2,2021-05-02 10:45:56,2021-05-02 10:48:59,74,Brooklyn,194,Manhattan,1.21,5.5,20.85,6.55,1.0
2,2021-05-28 10:31:00,2021-05-28 10:48:00,47,Manhattan,244,Manhattan,2.78,18.26,21.31,0.0,
2,2021-05-07 10:22:07,2021-05-07 10:39:29,244,Manhattan,238,Manhattan,4.56,16.5,25.06,0.0,1.0
1,2021-05-03 08:30:20,2021-05-03 08:54:45,244,Manhattan,230,Manhattan,7.1,24.0,32.55,0.0,1.0
2,2021-05-25 13:31:05,2021-05-25 13:33:47,116,Queens,244,Manhattan,0.44,4.0,4.8,0.0,2.0
2,2021-05-05 19:33:13,2021-05-05 19:45:41,74,Brooklyn,239,Manhattan,3.31,12.0,19.86,0.0,1.0
2,2021-05-05 15:22:00,2021-05-05 16:10:00,46,Manhattan,200,Manhattan,10.37,32.99,33.29,0.0,
2,2021-05-10 16:19:13,2021-05-10 16:41:44,74,Brooklyn,247,Manhattan,1.61,14.0,15.8,0.0,1.0
2,2021-05-24 12:57:00,2021-05-24 13:01:00,124,Queens,76,Brooklyn,1.28,22.25,25.3,0.0,
2,2021-05-24 15:15:35,2021-05-24 15:20:35,33,Brooklyn,25,Manhattan,0.8,5.0,6.96,0.0,1.0
2,2021-05-10 11:31:00,2021-05-10 11:55:00,254,Manhattan,169,Queens,4.95,17.59,20.64,0.0,
2,2021-05-19 09:41:00,2021-05-19 09:59:00,20,Manhattan,242,Manhattan,3.09,23.55,23.85,0.0,
2,2021-05-23 10:39:22,2021-05-23 10:54:04,146,Queens,237,Manhattan,2.99,13.5,20.46,0.0,1.0
1,2021-05-04 16:34:19,2021-05-04 16:49:22,82,Brooklyn,92,Brooklyn,2.9,12.0,13.8,0.0,2.0
1,2021-05-02 14:54:15,2021-05-02 15:05:38,75,Brooklyn,262,Manhattan,1.9,9.5,13.05,0.0,1.0
2,2021-05-18 16:27:00,2021-05-18 16:35:00,236,Queens,75,Brooklyn,1.3,15.45,18.5,0.0,
2,2021-05-15 01:12:45,2021-05-15 01:21:21,130,Queens,219,Manhattan,4.93,15.0,20.38,0.0,1.0
2,2021-05-28 11:48:48,2021-05-28 11:59:40,235,Manhattan,247,Manhattan,2.23,10.0,10.8,0.0,2.0
2,2021-05-25 02:13:05,2021-05-25 02:38:51,7,Manhattan,230,Manhattan,5.8,21.5,25.55,0.0,1.0
2,2021-05-11 15:38:03,2021-05-11 15:46:40,75,Brooklyn,238,Manhattan,1.01,7.0,12.66,0.0,1.0
2,2021-05-01 21:05:50,2021-05-01 21:11:31,41,Manhattan,75,Brooklyn,1.18,6.0,7.3,0.0,2.0
2,2021-05-15 18:19:00,2021-05-15 18:53:00,25,Manhattan,238,Manhattan,10.23,35.86,43.13,0.0,
2,2021-05-01 07:37:20,2021-05-01 07:37:23,14,Manhattan,264,Manhattan,0.0,10.0,15.3,0.0,1.0
2,2021-05-12 14:31:49,2021-05-12 14:48:26,74,Brooklyn,41,Manhattan,1.66,10.5,11.3,0.0,2.0
2,2021-05-18 18:58:16,2021-05-18 19:16:11,25,Manhattan,141,Queens,8.19,24.5,34.6,0.0,1.0
2,2021-05-21 11:16:41,2021-05-21 11:37:10,65,Brooklyn,188,Queens,3.89,16.5,20.76,0.0,1.0
2,2021-05-14 09:11:00,2021-05-14 09:23:00,42,Manhattan,244,Manhattan,1.75,16.67,19.72,0.0,
