VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2022-12-08 08:06:16,2022-12-08 08:14:13,74,Brooklyn,75,Brooklyn,1.07,6.5,7.3,0.0,2.0
2,2022-12-17 18:04:49,2022-12-17 18:37:06,75,Brooklyn,79,Brooklyn,5.46,21.5,30.06,0.0,1.0
2,2022-12-03 22:29:29,2022-12-03 22:38:58,75,Brooklyn,238,Manhattan,1.81,8.5,15.06,0.0,1.0
2,2022-12-09 15:47:33,2022-12-09 15:56:20,129,Queens,7,Manhattan,1.45,7.5,9.96,0.0,1.0
2,2022-12-30 14:14:54,2022-12-30 14:29:11,82,Brooklyn,129,Queens,1.13,13.5,15.0,0.0,2.0
2,2022-12-23 14:24:00,2022-12-23 15:47:00,166,Brooklyn,132,Queens,18.86,77.0,101.46,6.55,
1,2022-12-18 18:53:08,2022-12-18 18:57:13,74,Brooklyn,41,Manhattan,0.8,5.0,6.95,0.0,1.0
2,2022-12-03 08:57:12,2022-12-03 09:06:40,41,Manhattan,238,Manhattan,1.71,9.0,12.74,0.0,1.0
2,2022-12-23 15:57:29,2022-12-23 16:08:33,74,Brooklyn,75,Brooklyn,1.59,12.1,16.32,0.0,1.0
1,2022-12-29 15:53:10,2022-12-29 16:15:11,244,Manhattan,239,Manhattan,5.4,24.7,33.29,0.0,
2,2022-12-01 22:02:41,2022-12-01 22:19:52,82,Brooklyn,160,Queens,3.51,14.0,15.3,0.0,1.0
1,2022-12-15 18:27:34,2022-12-15 18:52:34,14,Manhattan,123,Queens,0.0,22.2,23.0,0.0,1.0
2,2022-12-01 19:32:20,2022-12-01 19:34:05,82,Brooklyn,82,Brooklyn,0.37,3.5,5.3,0.0,2.0
1,2022-12-17 18:08:15,2022-12-17 18:21:28,65,Brooklyn,49,Brooklyn,1.3,9.5,12.35,0.0,1.0
2,2022-12-20 07:49:18,2022-12-20 08:17:46,197,Manhattan,131,Queens,4.87,28.9,30.4,0.0,2.0
2,2022-12-09 15:16:46,2022-12-09 16:34:34,130,Queens,52,Brooklyn,14.19,52.5,53.3,0.0,2.0
2,2022-12-23 06:16:19,2022-12-23 06:42:36,7,Manhattan,238,Manhattan,0.0,21.2,29.0,0.0,1.0
2,2022-12-15 07:38:46,2022-12-15 07:44:31,228,Manhattan,227,Manhattan,0.66,23.0,35.3,0.0,1.0
2,2022-12-23 07:32:56,2022-12-23 07:41:08,74,Brooklyn,75,Brooklyn,1.42,10.0,13.8,0.0,1.0
2,2022-12-18 18:00:45,2022-12-18 18:13:45,74,Brooklyn,262,Manhattan,2.49,10.5,16.05,0.0,1.0
1,2022-12-22 16:01:58,2022-12-22 16:12:44,75,Brooklyn,239,Manhattan,2.1,11.4,19.4,0.0,1.0
2,2022-12-30 18:21:00,2022-12-30 18:29:54,74,Brooklyn,263,Manhattan,1.85,11.4,19.25,0.0,1.0
1,2022-12-07 06:09:10,2022-12-07 06:15:43,74,Brooklyn,75,Brooklyn,1.5,7.0,8.8,0.0,1.0
2,2022-12-18 07:36:12,2022-12-18 07:46:57,74,Brooklyn,41,Manhattan,1.81,9.5,10.3,0.0,2.0
1,2022-12-16 14:03:19,2022-12-16 14:11:30,75,Brooklyn,74,Brooklyn,1.1,7.0,7.8,0.0,2.0
1,2022-12-12 14:56:31,2022-12-12 15:01:38,33,Brooklyn,52,Brooklyn,0.0,15.2,16.0,0.0,1.0
2,2022-12-20 16:32:34,2022-12-20 16:50:43,92,Brooklyn,53,Brooklyn,2.99,19.1,22.4,0.0,2.0
1,2022-12-24 11:34:12,2022-12-24 12:00:09,97,Brooklyn,227,Manhattan,3.6,21.2,22.7,0.0,2.0
2,2022-12-12 19:15:32,2022-12-12 20:16:10,196,Manhattan,43,Bronx,9.46,42.0,51.55,0.0,1.0
2,2022-12-02 15:34:12,2022-12-02 15:51:00,95,Brooklyn,192,Manhattan,2.75,13.0,13.8,0.0,2.0
2,2022-12-23 14:10:37,2022-12-23 14:24:09,260,Manhattan,226,Manhattan,1.48,13.5,15.0,0.0,2.0
2,2022-12-04 13:01:14,2022-12-04 13:48:26,134,Queens,246,Manhattan,12.85,60.0,69.6,6.55,2.0
2,2022-12-01 09:38:25,2022-12-01 09:47:13,166,Brooklyn,239,Manhattan,1.82,8.5,14.46,0.0,1.0
2,2022-12-15 16:47:48,2022-12-15 17:24:08,75,Brooklyn,68,Brooklyn,5.84,26.5,35.05,0.0,1.0
2,2022-12-27 13:49:06,2022-12-27 13:59:19,179,Queens,7,Manhattan,1.32,11.4,12.9,0.0,2.0
2,2022-12-07 12:59:49,2022-12-07 13:04:54,74,Brooklyn,75,Brooklyn,0.91,5.5,7.56,0.0,1.0
2,2022-12-13 07:16:22,2022-12-13 07:29:51,74,Brooklyn,236,Queens,2.07,10.0,15.85,0.0,1.0
1,2022-12-14 13:59:08,2022-12-14 14:04:07,75,Brooklyn,74,Brooklyn,1.3,6.0,8.2,0.0,1.0
1,2022-12-19 08:18:48,2022-12-19 08:23:45,41,Manhattan,151,Queens,0.9,6.5,8.76,0.0,1.0
2,2022-12-07 11:39:25,2022-12-07 11:57:03,74,Brooklyn,262,Manhattan,2.2,12.5,17.05,0.0,1.0
2,2022-12-05 19:06:18,2022-12-05 19:19:35,82,Brooklyn,160,Queens,2.45,10.5,14.76,0.0,1.0
2,2022-12-26 17:27:23,2022-12-26 17:37:25,82,Brooklyn,82,Brooklyn,1.2,10.0,11.5,0.0,2.0
1,2022-12-05 20:47:07,2022-12-05 20:57:30,74,Brooklyn,236,Queens,2.4,10.0,17.55,0.0,1.0
1,2022-12-21 18:08:17,2022-12-21 18:19:55,75,Brooklyn,140,Queens,1.6,10.7,20.9,0.0,1.0
2,2022-12-30 19:18:00,2022-12-30 19:48:00,166,Brooklyn,48,Manhattan,4.82,33.73,41.23,0.0,
2,2022-12-22 20:20:28,2022-12-22 20:25:41,43,Bronx,236,Queens,1.3,7.9,12.9,0.0,2.0
2,2022-12-19 11:36:41,2022-12-19 12:01:01,74,Brooklyn,239,Manhattan,3.77,24.0,28.25,0.0,2.0
2,2022-12-02 14:59:00,2022-12-02 15:24:00,193,Manhattan,140,Queens,2.57,15.9,22.86,0.0,
2,2022-12-14 18:17:37,2022-12-14 18:28:47,74,Brooklyn,236,Queens,1.96,9.0,16.26,0.0,1.0
2,2022-12-23 19:51:37,2022-12-23 20:10:33,74,Brooklyn,142,Queens,3.87,21.2,28.95,0.0,1.0
2,2022-12-02 12:39:47,2022-12-02 12:49:44,166,Brooklyn,41,Manhattan,1.14,8.0,8.8,0.0,2.0
2,2022-12-13 22:02:28,2022-12-13 22:35:45,244,Manhattan,209,Manhattan,13.24,39.0,43.05,0.0,2.0
1,2022-12-21 14:22:46,2022-12-21 14:33:53,74,Brooklyn,236,Queens,2.5,12.1,19.6,0.0,1.0
2,2022-12-16 15:59:14,2022-12-16 17:50:28,55,Brooklyn,55,Brooklyn,10.24,65.0,65.8,0.0,2.0
1,2022-12-02 15:23:43,2022-12-02 15:34:37,74,Brooklyn,41,Manhattan,1.0,8.0,8.8,0.0,2.0
