VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2023-05-25 12:28:51,2023-05-25 12:28:55,75,Brooklyn,75,Brooklyn,0.05,13.0,16.8,0.0,1.0
2,2023-05-27 21:24:39,2023-05-27 21:35:24,74,Brooklyn,166,Brooklyn,1.92,12.8,17.8,0.0,1.0
2,2023-05-06 01:11:49,2023-05-06 01:19:19,181,Brooklyn,181,Brooklyn,1.31,9.3,11.8,0.0,2.0
2,2023-05-18 16:55:00,2023-05-18 17:09:35,244,Manhattan,42,Manhattan,3.35,17.7,21.7,0.0,2.0
2,2023-05-05 08:46:17,2023-05-05 09:43:08,95,Brooklyn,33,Brooklyn,12.47,57.6,59.1,0.0,2.0
2,2023-05-28 13:35:33,2023-05-28 13:43:32,7,Manhattan,7,Manhattan,1.1,9.3,14.04,0.0,1.0
2,2023-05-17 17:32:37,2023-05-17 17:38:53,43,Bronx,263,Manhattan,1.16,8.6,15.35,0.0,1.0
2,2023-05-29 18:34:37,2023-05-29 18:45:24,74,Brooklyn,116,Queens,2.16,12.8,17.1,0.0,1.0
2,2023-05-23 20:28:24,2023-05-24 19:48:37,7,Manhattan,95,Brooklyn,7.81,32.4,41.88,0.0,1.0
2,2023-05-23 17:00:36,2023-05-23 17:19:05,166,Brooklyn,141,Queens,3.23,19.1,27.35,0.0,1.0
2,2023-05-19 18:40:16,2023-05-19 18:48:40,166,Brooklyn,238,Manhattan,1.41,10.0,20.1,0.0,1.0
2,2023-05-18 09:30:57,2023-05-18 09:46:04,95,Brooklyn,138,Queens,5.31,24.0,36.6,0.0,1.0
2,2023-05-25 12:17:19,2023-05-25 12:35:04,97,Brooklyn,61,Brooklyn,2.34,17.0,21.5,0.0,1.0
2,2023-05-11 06:14:37,2023-05-11 06:32:18,74,Brooklyn,138,Queens,7.96,33.1,55.38,6.55,1.0
2,2023-05-25 15:29:45,2023-05-25 15:41:00,82,Brooklyn,260,Manhattan,1.29,11.4,12.9,0.0,2.0
2,2023-05-01 18:08:09,2023-05-01 18:22:33,82,Brooklyn,173,Queens,1.75,14.2,18.2,0.0,2.0
2,2023-05-02 09:48:00,2023-05-02 10:21:00,42,Manhattan,237,Manhattan,4.85,27.4,37.38,0.0,
2,2023-05-08 14:49:31,2023-05-08 15:09:32,75,Brooklyn,74,Brooklyn,2.85,19.8,21.3,0.0,2.0
2,2023-05-12 04:26:32,2023-05-12 04:27:51,61,Brooklyn,17,Manhattan,0.29,3.7,6.2,0.0,2.0
2,2023-05-14 16:00:22,2023-05-14 16:09:59,74,Brooklyn,263,Manhattan,2.37,12.8,20.46,0.0,1.0
2,2023-05-09 16:29:35,2023-05-09 16:34:32,75,Brooklyn,41,Manhattan,1.1,7.2,11.2,0.0,2.0
2,2023-05-18 09:18:56,2023-05-18 09:26:56,74,Brooklyn,236,Queens,1.68,10.0,14.96,0.0,1.0
