VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-09-19 14:56:04,2021-09-19 15:05:03,74,Brooklyn,41,Manhattan,0.0,6.5,8.76,0.0,1.0
2,2021-09-26 08:52:00,2021-09-26 09:19:00,35,Manhattan,29,Manhattan,10.5,36.16,39.21,0.0,
2,2021-09-09 09:18:00,2021-09-09 09:29:00,182,Queens,242,Manhattan,1.85,18.59,21.64,0.0,
2,2021-09-05 13:59:34,2021-09-05 14:04:33,166,Brooklyn,166,Brooklyn,0.92,5.5,7.56,0.0,1.0
2,2021-09-14 07:53:07,2021-09-14 08:11:43,75,Brooklyn,237,Manhattan,2.67,13.5,17.05,0.0,2.0
2,2021-09-23 19:51:46,2021-09-23 20:07:28,95,Brooklyn,197,Manhattan,2.35,11.5,15.96,0.0,1.0
2,2021-09-14 06:32:00,2021-09-14 07:09:00,18,Manhattan,87,Brooklyn,16.07,57.04,66.64,6.55,
2,2021-09-14 09:20:46,2021-09-14 09:31:51,166,Brooklyn,239,Manhattan,1.87,9.5,14.55,0.0,1.0
2,2021-09-24 08:00:55,2021-09-24 08:03:57,116,Queens,42,Manhattan,0.3,4.0,4.8,0.0,2.0
2,2021-09-09 01:43:10,2021-09-09 01:43:42,256,Manhattan,256,Manhattan,0.0,75.0,75.31,0.0,1.0
2,2021-09-29 10:42:00,2021-09-29 10:57:00,52,Brooklyn,228,Manhattan,3.24,14.81,18.47,0.0,
2,2021-09-03 15:06:00,2021-09-03 15:32:00,244,Manhattan,100,Brooklyn,7.42,26.98,36.65,0.0,
2,2021-09-21 19:13:43,2021-09-21 19:29:04,74,Brooklyn,138,Queens,6.91,20.5,31.73,6.55,1.0
2,2021-09-02 10:08:09,2021-09-02 10:12:59,41,Manhattan,152,Queens,0.72,5.5,6.3,0.0,2.0
2,2021-09-15 13:08:30,2021-09-15 13:42:57,166,Brooklyn,107,Brooklyn,7.72,28.5,41.67,0.0,1.0
2,2021-09-14 17:18:00,2021-09-14 17:40:00,161,Queens,75,Brooklyn,1.19,9.13,24.23,6.55,
2,2021-09-04 10:46:00,2021-09-04 11:16:00,25,Manhattan,149,Queens,6.81,31.67,34.72,0.0,
2,2021-09-25 15:59:45,2021-09-25 17:24:19,74,Brooklyn,108,Queens,22.21,75.0,82.35,6.55,1.0
2,2021-09-21 08:45:26,2021-09-21 08:58:40,74,Brooklyn,236,Queens,2.04,10.0,13.55,0.0,2.0
2,2021-09-23 14:19:12,2021-09-23 14:28:45,166,Brooklyn,41,Manhattan,1.05,7.5,9.96,0.0,1.0
2,2021-09-23 16:28:00,2021-09-23 17:23:00,137,Queens,108,Queens,15.88,39.55,49.15,6.55,
2,2021-09-26 10:47:00,2021-09-26 11:21:00,235,Manhattan,97,Brooklyn,16.4,47.43,57.03,6.55,
1,2021-09-15 13:02:52,2021-09-15 13:45:55,75,Brooklyn,38,Manhattan,0.0,50.2,51.0,0.0,1.0
1,2021-09-27 09:07:19,2021-09-27 09:56:24,188,Queens,90,Brooklyn,0.0,22.2,23.0,0.0,1.0
2,2021-09-30 15:41:15,2021-09-30 15:59:01,75,Brooklyn,42,Manhattan,2.24,12.5,15.96,0.0,1.0
2,2021-09-03 11:22:17,2021-09-03 11:27:54,41,Manhattan,166,Brooklyn,0.86,6.0,6.8,0.0,2.0
2,2021-09-09 08:15:00,2021-09-09 08:54:00,75,Brooklyn,234,Manhattan,4.83,26.06,35.52,0.0,
2,2021-09-30 09:57:00,2021-09-30 10:22:00,76,Brooklyn,82,Brooklyn,10.4,28.19,28.49,0.0,
2,2021-09-12 15:25:00,2021-09-12 16:05:00,25,Manhattan,91,Brooklyn,49480.09,30.6,33.65,0.0,
1,2021-09-20 08:14:01,2021-09-20 08:45:04,89,Brooklyn,39,Manhattan,0.0,14.2,15.0,0.0,1.0
2,2021-09-17 15:04:10,2021-09-17 15:16:23,75,Brooklyn,74,Brooklyn,1.33,9.0,9.8,0.0,2.0
2,2021-09-17 14:37:00,2021-09-17 15:08:00,82,Brooklyn,132,Queens,10.6,33.43,41.24,0.0,
2,2021-09-16 09:34:00,2021-09-16 09:59:00,41,Manhattan,116,Queens,2.46,14.94,20.74,0.0,
2,2021-09-21 20:13:00,2021-09-21 20:49:00,60,Brooklyn,70,Brooklyn,11.89,36.9,46.5,6.55,
2,2021-09-29 06:33:00,2021-09-29 07:21:00,149,Queens,126,Queens,16.6,58.98,68.58,6.55,
2,2021-09-06 15:25:35,2021-09-06 15:36:17,41,Manhattan,75,Brooklyn,1.6,7.0,7.8,0.0,2.0
1,2021-09-30 13:14:34,2021-09-30 13:34:17,247,Manhattan,213,Manhattan,4.3,17.5,19.3,0.0,2.0
2,2021-09-26 22:22:00,2021-09-26 22:57:00,205,Manhattan,208,Manhattan,13.0,38.51,48.11,6.55,
2,2021-09-13 14:10:58,2021-09-13 14:23:23,74,Brooklyn,166,Brooklyn,1.85,9.5,12.36,0.0,1.0
2,2021-09-20 22:49:12,2021-09-20 23:12:16,83,Brooklyn,61,Brooklyn,8.42,26.5,29.8,0.0,1.0
