VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2023-08-27 11:12:23,2023-08-27 11:20:53,82,Brooklyn,138,Queens,3.64,17.0,28.2,0.0,1.0
2,2023-08-01 09:25:46,2023-08-01 09:38:47,95,Brooklyn,135,Queens,1.97,14.2,15.7,0.0,2.0
2,2023-08-27 07:17:58,2023-08-27 07:41:13,195,Manhattan,138,Queens,13.7,52.0,66.5,0.0,1.0
2,2023-08-19 11:11:31,2023-08-19 11:17:52,74,Brooklyn,42,Manhattan,0.79,7.9,9.4,0.0,1.0
2,2023-08-21 14:15:46,2023-08-21 14:24:36,74,Brooklyn,75,Brooklyn,1.34,10.0,11.5,0.0,2.0
2,2023-08-29 00:46:00,2023-08-29 00:57:00,243,Manhattan,47,Manhattan,2.72,17.24,18.24,0.0,
2,2023-08-03 22:10:03,2023-08-03 22:22:38,66,Brooklyn,256,Manhattan,3.22,17.0,25.75,0.0,1.0
2,2023-08-18 13:29:50,2023-08-18 13:39:26,74,Brooklyn,166,Brooklyn,1.8,11.4,12.9,0.0,2.0
2,2023-08-09 07:15:41,2023-08-09 07:32:42,41,Manhattan,162,Queens,4.26,20.5,29.7,0.0,1.0
2,2023-08-14 09:45:00,2023-08-14 10:27:00,223,Manhattan,142,Queens,5.8,52.8,56.55,0.0,
2,2023-08-08 07:31:35,2023-08-08 07:34:01,74,Brooklyn,41,Manhattan,0.3,4.4,5.9,0.0,2.0
1,2023-08-14 09:35:56,2023-08-14 10:10:05,218,Manhattan,137,Queens,0.0,47.5,55.94,6.94,1.0
2,2023-08-01 18:17:00,2023-08-01 18:40:00,193,Manhattan,129,Queens,3.59,21.43,24.67,0.0,
2,2023-08-07 02:44:04,2023-08-07 02:44:12,82,Brooklyn,82,Brooklyn,0.0,15.0,15.3,0.0,1.0
2,2023-08-05 01:04:38,2023-08-05 01:04:43,74,Brooklyn,74,Brooklyn,0.0,15.0,16.01,0.0,1.0
