VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2023-07-02 18:45:38,2023-07-02 19:06:05,132,Queens,205,Manhattan,5.91,28.9,32.15,0.0,2
2,2023-07-20 12:23:56,2023-07-20 12:39:10,48,Manhattan,141,Queens,2.15,15.6,23.52,0.0,1
2,2023-07-19 18:26:05,2023-07-19 19:00:44,132,Queens,184,Queens,17.18,64.6,90.18,6.55,1
2,2023-07-31 10:39:38,2023-07-31 10:57:54,186,Queens,163,Brooklyn,1.66,16.3,20.3,0.0,2
2,2023-07-13 17:54:40,2023-07-13 18:12:49,161,Queens,90,Brooklyn,1.97,17.0,28.2,0.0,1
1,2023-07-15 10:54:15,2023-07-15 11:13:26,231,Manhattan,186,Queens,3.2,20.5,28.5,0.0,1
2,2023-07-09 16:43:17,2023-07-09 16:57:46,142,Queens,162,Queens,1.58,14.2,21.84,0.0,1
1,2023-07-18 21:07:32,2023-07-18 21:17:26,137,Queens,114,Queens,1.7,10.0,18.0,0.0,1
2,2023-07-24 22:06:34,2023-07-24 22:14:39,141,Queens,236,Queens,1.82,11.4,18.86,0.0,1
1,2023-07-10 11:09:09,2023-07-10 11:17:08,262,Manhattan,170,Brooklyn,2.6,13.5,17.5,0.0,2
2,2023-07-30 03:54:12,2023-07-30 04:07:22,232,Manhattan,263,Manhattan,5.4,23.3,28.3,0.0,1
2,2023-07-21 14:18:35,2023-07-21 14:43:20,211,Manhattan,230,Manhattan,3.33,23.3,27.3,0.0,2
2,2023-07-26 00:38:59,2023-07-26 00:56:56,249,Manhattan,142,Queens,3.52,19.8,29.76,0.0,1
1,2023-07-28 13:37:05,2023-07-28 13:45:03,163,Brooklyn,239,Manhattan,1.3,9.3,16.3,0.0,1
2,2023-07-06 12:28:23,2023-07-06 12:50:39,237,Manhattan,161,Queens,0.77,18.4,26.88,0.0,1
1,2023-07-02 18:05:39,2023-07-02 18:14:44,170,Brooklyn,79,Brooklyn,1.4,10.7,17.6,0.0,1
2,2023-07-17 18:11:15,2023-07-17 18:18:18,262,Manhattan,141,Queens,1.26,9.3,18.96,0.0,1
2,2023-07-25 09:29:12,2023-07-25 10:17:28,48,Manhattan,132,Queens,17.01,70.0,80.55,6.55,2
2,2023-07-23 01:25:35,2023-07-23 01:31:59,211,Manhattan,90,Brooklyn,1.66,9.3,14.3,0.0,2
2,2023-07-26 16:15:25,2023-07-26 16:28:57,237,Manhattan,43,Bronx,1.3,12.8,22.3,0.0,1
2,2023-07-21 17:40:52,2023-07-21 17:54:21,163,Brooklyn,43,Bronx,1.68,13.5,25.0,0.0,1
1,2023-07-12 14:19:44,2023-07-12 14:30:27,263,Manhattan,233,Manhattan,2.6,14.9,22.65,0.0,1
1,2023-07-26 12:52:54,2023-07-26 12:57:29,236,Queens,237,Manhattan,0.7,6.5,12.6,0.0,1
1,2023-07-02 17:49:25,2023-07-02 17:57:31,100,Brooklyn,230,Manhattan,0.9,8.6,15.1,0.0,1
2,2023-07-28 20:56:37,2023-07-28 21:11:55,164,Brooklyn,161,Queens,1.77,14.9,23.88,0.0,1
2,2023-07-05 16:32:36,2023-07-05 16:56:02,237,Manhattan,107,Brooklyn,3.57,24.7,31.2,0.0,2
2,2023-07-02 13:47:13,2023-07-02 13:53:51,107,Brooklyn,246,Manhattan,1.12,8.6,15.12,0.0,1
1,2023-07-20 07:48:22,2023-07-20 07:50:53,237,Manhattan,141,Queens,0.4,4.4,8.4,0.0,2
2,2023-07-16 14:39:03,2023-07-16 14:57:31,24,Manhattan,161,Queens,3.27,19.8,28.56,0.0,1
1,2023-07-27 10:05:15,2023-07-27 10:09:58,107,Brooklyn,107,Brooklyn,0.6,5.8,10.8,0.0,1
2,2023-07-07 19:07:27,2023-07-07 19:30:27,43,Bronx,231,Manhattan,7.61,33.8,48.36,0.0,1
2,2023-07-21 05:52:22,2023-07-21 05:55:43,238,Manhattan,236,Queens,1.07,7.2,11.64,0.0,1
2,2023-07-23 04:41:54,2023-07-23 05:09:59,79,Brooklyn,243,Manhattan,11.18,40.02,50.62,0.0,0
2,2023-07-03 00:28:28,2023-07-03 00:39:23,246,Manhattan,79,Brooklyn,1.95,12.8,21.36,0.0,1
1,2023-07-17 00:14:00,2023-07-17 00:39:27,162,Queens,17,Manhattan,7.6,34.5,46.05,6.55,4
1,2023-07-25 01:48:08,2023-07-25 01:59:41,79,Brooklyn,261,Manhattan,2.8,14.2,22.2,0.0,1
1,2023-07-15 16:13:50,2023-07-15 17:11:20,132,Queens,48,Manhattan,16.7,70.0,102.9,6.55,1
2,2023-07-26 01:38:27,2023-07-26 02:13:08,163,Brooklyn,243,Manhattan,8.58,42.2,47.2,0.0,1
2,2023-07-06 08:25:01,2023-07-06 08:40:48,162,Queens,237,Manhattan,1.34,14.2,18.2,0.0,2
2,2023-07-10 20:50:47,2023-07-10 21:08:03,125,Queens,125,Queens,3.15,18.4,28.08,0.0,1
2,2023-07-12 15:05:57,2023-07-12 15:19:52,236,Queens,239,Manhattan,1.75,14.2,21.84,0.0,1
2,2023-07-17 17:43:00,2023-07-17 17:49:54,237,Manhattan,237,Manhattan,0.78,8.6,15.1,0.0,2
