VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-03-16 15:20:33,2021-03-16 15:28:57,162,Queens,137,Queens,1.82,8.0,14.12,0.0,1
2,2021-03-23 22:07:01,2021-03-23 22:10:08,237,Manhattan,237,Manhattan,0.87,5.0,9.8,0.0,1
2,2021-03-22 13:13:13,2021-03-22 13:17:04,166,Brooklyn,152,Queens,0.9,5.5,7.56,0.0,1
1,2021-03-29 13:28:32,2021-03-29 13:42:36,107,Brooklyn,140,Queens,2.4,11.0,15.3,0.0,1
2,2021-03-13 19:46:36,2021-03-13 19:53:41,141,Queens,161,Queens,1.05,6.5,10.78,0.0,1
2,2021-03-31 06:46:01,2021-03-31 06:51:30,233,Manhattan,234,Manhattan,1.06,6.0,11.16,0.0,1
1,2021-03-01 07:36:57,2021-03-01 07:43:24,148,Queens,137,Queens,1.5,7.0,10.3,0.0,2
2,2021-03-21 14:39:56,2021-03-21 14:48:27,162,Queens,236,Queens,1.51,8.0,14.13,0.0,1
2,2021-03-19 06:47:37,2021-03-19 06:57:26,170,Brooklyn,43,Bronx,2.68,10.0,15.96,0.0,1
2,2021-03-20 11:21:24,2021-03-20 11:23:59,237,Manhattan,162,Queens,0.63,4.0,8.76,0.0,1
1,2021-03-02 12:45:12,2021-03-02 12:53:31,264,Manhattan,75,Brooklyn,1.6,8.0,11.3,0.0,2
2,2021-03-03 11:39:54,2021-03-03 11:54:29,186,Queens,143,Queens,2.58,12.0,18.36,0.0,1
2,2021-03-16 11:01:31,2021-03-16 11:11:30,229,Manhattan,236,Queens,1.84,8.5,13.57,0.0,1
2,2021-03-08 16:56:46,2021-03-08 17:05:44,137,Queens,141,Queens,2.09,9.0,13.3,0.0,2
1,2021-03-03 19:14:58,2021-03-03 19:45:52,236,Queens,248,Manhattan,7.2,24.5,28.8,0.0,1
2,2021-03-07 09:03:34,2021-03-07 09:08:19,68,Brooklyn,158,Queens,1.22,6.0,9.3,0.0,2
1,2021-03-13 01:27:24,2021-03-13 01:37:50,229,Manhattan,239,Manhattan,2.6,10.5,17.15,0.0,1
1,2021-03-12 14:38:00,2021-03-12 14:52:53,141,Queens,237,Manhattan,1.1,10.5,13.8,0.0,2
2,2021-03-10 13:17:12,2021-03-10 13:31:06,75,Brooklyn,69,Brooklyn,3.26,12.5,13.3,0.0,2
2,2021-03-17 19:00:56,2021-03-17 19:07:00,13,Manhattan,231,Manhattan,0.89,6.0,11.8,0.0,1
1,2021-03-15 11:16:31,2021-03-15 11:30:51,186,Queens,229,Manhattan,2.1,11.0,14.3,0.0,2
2,2021-03-24 19:05:48,2021-03-24 19:21:19,50,Brooklyn,234,Manhattan,2.86,13.0,19.3,0.0,1
2,2021-03-01 14:20:35,2021-03-01 14:31:09,107,Brooklyn,140,Queens,2.39,10.0,15.3,0.0,1
2,2021-03-01 00:22:31,2021-03-01 00:37:42,100,Brooklyn,41,Manhattan,4.01,15.0,19.8,0.0,1
1,2021-03-23 09:36:47,2021-03-23 09:41:24,230,Manhattan,170,Brooklyn,0.9,5.5,10.55,0.0,1
2,2021-03-25 14:12:23,2021-03-25 14:34:03,137,Queens,238,Manhattan,4.09,16.5,20.8,0.0,1
2,2021-03-27 17:36:46,2021-03-27 17:55:59,186,Queens,236,Queens,3.13,15.0,19.3,0.0,1
2,2021-03-08 11:22:51,2021-03-08 11:30:02,79,Brooklyn,137,Queens,1.47,7.0,12.3,0.0,1
1,2021-03-27 03:51:16,2021-03-27 04:00:07,48,Manhattan,24,Manhattan,3.6,12.5,16.3,0.0,2
1,2021-03-03 09:04:31,2021-03-03 09:21:43,238,Manhattan,74,Brooklyn,3.2,13.5,19.8,0.0,1
1,2021-03-03 13:53:26,2021-03-03 13:58:54,143,Queens,239,Manhattan,0.7,5.5,9.8,0.0,1
2,2021-03-19 08:16:03,2021-03-19 08:22:26,239,Manhattan,238,Manhattan,0.99,6.5,11.76,0.0,1
1,2021-03-16 19:45:06,2021-03-16 19:51:48,262,Manhattan,237,Manhattan,1.3,6.5,11.8,0.0,1
2,2021-03-06 09:17:28,2021-03-06 09:25:02,143,Queens,237,Manhattan,1.73,8.0,14.69,0.0,1
1,2021-03-23 20:46:19,2021-03-23 21:03:22,107,Brooklyn,143,Queens,3.7,15.0,20.8,0.0,1
1,2021-03-19 22:42:47,2021-03-19 22:47:57,68,Brooklyn,246,Manhattan,0.8,5.5,9.3,0.0,1
2,2021-03-05 19:18:06,2021-03-05 19:25:31,90,Brooklyn,107,Brooklyn,0.86,6.5,11.8,0.0,1
2,2021-03-23 07:27:59,2021-03-23 07:40:29,43,Bronx,170,Brooklyn,3.4,12.0,15.3,0.0,2
1,2021-03-16 18:35:58,2021-03-16 18:42:00,41,Manhattan,151,Queens,0.8,6.0,7.8,0.0,2
1,2021-03-27 18:15:19,2021-03-27 18:23:47,90,Brooklyn,249,Manhattan,1.1,7.0,12.35,0.0,1
2,2021-03-01 15:55:23,2021-03-01 16:17:14,162,Queens,238,Manhattan,3.66,17.0,23.3,0.0,1
2,2021-03-30 06:44:54,2021-03-30 06:52:59,79,Brooklyn,158,Queens,2.05,8.0,11.3,0.0,1
1,2021-03-12 13:08:13,2021-03-12 13:16:09,238,Manhattan,236,Queens,1.3,7.0,11.8,0.0,1
2,2021-03-09 15:15:10,2021-03-09 15:21:39,141,Queens,263,Manhattan,1.46,7.0,12.88,0.0,1
1,2021-03-07 12:12:34,2021-03-07 12:29:52,170,Brooklyn,148,Queens,4.8,17.0,24.36,0.0,1
2,2021-03-09 08:52:22,2021-03-09 09:04:43,90,Brooklyn,230,Manhattan,1.78,9.5,15.36,0.0,1
1,2021-03-05 16:51:48,2021-03-05 17:09:28,48,Manhattan,166,Brooklyn,2.9,13.0,21.3,0.0,1
2,2021-03-15 10:43:35,2021-03-15 11:06:53,74,Brooklyn,164,Brooklyn,6.45,22.0,25.3,0.0,1
1,2021-03-19 17:52:50,2021-03-19 18:09:01,48,Manhattan,79,Brooklyn,2.7,12.5,17.8,0.0,1
2,2021-03-23 09:51:17,2021-03-23 09:59:05,234,Manhattan,161,Queens,1.66,7.5,13.8,0.0,1
1,2021-03-05 08:57:29,2021-03-05 09:33:46,74,Brooklyn,68,Brooklyn,5.5,25.0,38.3,0.0,1
2,2021-03-30 05:37:44,2021-03-30 05:43:04,151,Queens,239,Manhattan,1.11,6.5,11.3,0.0,1
2,2021-03-18 03:00:37,2021-03-18 03:26:51,68,Brooklyn,41,Manhattan,6.58,22.5,34.19,0.0,1
1,2021-03-20 12:21:13,2021-03-20 12:41:55,163,Brooklyn,144,Queens,3.3,15.5,18.8,0.0,1
1,2021-03-09 21:45:02,2021-03-09 21:54:38,114,Queens,13,Manhattan,2.2,10.0,16.55,0.0,1
2,2021-03-10 08:56:30,2021-03-10 09:05:05,144,Queens,234,Manhattan,1.38,7.5,11.8,0.0,1
2,2021-03-12 22:53:31,2021-03-12 23:07:31,237,Manhattan,114,Queens,3.83,13.5,21.63,0.0,1
2,2021-03-04 18:14:43,2021-03-04 18:32:51,162,Queens,114,Queens,3.25,14.0,18.3,0.0,2
1,2021-03-12 06:19:23,2021-03-12 06:29:13,262,Manhattan,107,Brooklyn,3.7,13.0,16.3,0.0,1
2,2021-03-15 10:55:51,2021-03-15 11:05:32,189,Queens,97,Brooklyn,1.48,8.5,12.09,0.0,1
2,2021-03-05 19:28:44,2021-03-05 19:35:50,239,Manhattan,236,Queens,1.95,8.0,14.0,0.0,1
2,2021-03-12 22:56:37,2021-03-12 23:09:14,74,Brooklyn,146,Queens,5.97,28.95,32.5,0.0,0
1,2021-03-31 20:57:42,2021-03-31 21:07:56,237,Manhattan,263,Manhattan,2.1,9.5,15.95,0.0,1
1,2021-03-13 08:07:51,2021-03-13 08:09:30,140,Queens,263,Manhattan,0.5,3.5,7.8,0.0,1
2,2021-03-01 16:59:31,2021-03-01 17:09:44,161,Queens,141,Queens,1.8,9.0,16.62,0.0,1
1,2021-03-19 18:39:57,2021-03-19 19:07:56,43,Bronx,45,Manhattan,4.5,19.5,28.55,0.0,1
2,2021-03-17 21:05:17,2021-03-17 21:13:38,41,Manhattan,42,Manhattan,1.83,8.5,9.8,0.0,2
2,2021-03-09 01:56:58,2021-03-09 02:15:58,263,Manhattan,255,Manhattan,5.4,18.5,22.3,0.0,2
1,2021-03-17 19:01:56,2021-03-17 19:16:38,262,Manhattan,88,Brooklyn,7.6,22.5,29.8,0.0,1
1,2021-03-27 16:04:12,2021-03-27 16:14:47,262,Manhattan,237,Manhattan,1.6,9.0,14.75,0.0,1
1,2021-03-09 13:10:47,2021-03-09 13:16:20,236,Queens,263,Manhattan,0.5,5.0,10.35,0.0,1
1,2021-03-30 15:26:57,2021-03-30 15:37:38,262,Manhattan,43,Bronx,1.9,9.0,15.35,0.0,1
2,2021-03-26 21:29:54,2021-03-26 21:34:44,90,Brooklyn,113,Queens,0.91,5.5,10.7,0.0,1
1,2021-03-27 14:29:32,2021-03-27 14:46:36,114,Queens,163,Brooklyn,3.1,14.0,20.75,0.0,1
2,2021-03-09 10:13:34,2021-03-09 10:21:01,140,Queens,137,Queens,2.61,10.0,15.96,0.0,1
2,2021-03-09 16:01:46,2021-03-09 16:14:20,162,Queens,164,Brooklyn,1.55,8.5,16.0,0.0,1
2,2021-03-28 11:44:27,2021-03-28 11:56:47,164,Brooklyn,229,Manhattan,2.23,9.0,14.76,0.0,1
1,2021-03-12 19:50:19,2021-03-12 20:09:32,144,Queens,230,Manhattan,3.6,15.0,20.3,0.0,1
2,2021-03-21 22:33:11,2021-03-21 22:47:32,138,Queens,7,Manhattan,4.44,15.5,21.84,0.0,1
2,2021-03-10 15:34:15,2021-03-10 16:22:11,211,Manhattan,17,Manhattan,5.23,30.0,33.3,0.0,2
2,2021-03-20 23:39:23,2021-03-20 23:48:05,166,Brooklyn,116,Queens,1.72,8.5,9.8,0.0,2
1,2021-03-03 12:22:15,2021-03-03 12:37:47,140,Queens,142,Queens,1.9,11.5,17.0,0.0,1
2,2021-03-28 07:21:07,2021-03-28 07:39:36,116,Queens,161,Queens,5.27,18.5,22.8,0.0,1
1,2021-03-22 17:43:53,2021-03-22 18:04:17,138,Queens,141,Queens,9.7,27.0,44.87,6.12,1
2,2021-03-02 17:11:46,2021-03-02 17:18:55,234,Manhattan,162,Queens,1.64,7.5,13.8,0.0,1
2,2021-03-06 14:06:45,2021-03-06 14:43:20,237,Manhattan,1,Manhattan,18.71,69.5,102.05,18.25,1
1,2021-03-25 12:21:36,2021-03-25 12:35:07,161,Queens,140,Queens,2.0,10.5,13.8,0.0,2
2,2021-03-02 18:04:49,2021-03-02 18:14:45,230,Manhattan,239,Manhattan,1.57,8.5,13.8,0.0,1
2,2021-03-16 18:38:25,2021-03-16 18:42:49,68,Brooklyn,249,Manhattan,0.64,5.0,11.0,0.0,1
1,2021-03-16 16:12:18,2021-03-16 16:15:45,170,Brooklyn,233,Manhattan,0.6,4.5,11.4,0.0,1
2,2021-03-17 08:38:06,2021-03-17 09:04:57,43,Bronx,158,Queens,5.8,21.5,26.8,0.0,1
2,2021-03-11 15:02:27,2021-03-11 15:10:35,238,Manhattan,43,Bronx,1.23,7.5,12.96,0.0,1
2,2021-03-20 07:59:37,2021-03-20 08:01:55,141,Queens,140,Queens,0.61,4.0,8.76,0.0,1
2,2021-03-24 10:04:14,2021-03-24 10:31:00,43,Bronx,41,Manhattan,2.89,17.5,20.8,0.0,1
1,2021-03-27 19:35:34,2021-03-27 19:47:02,144,Queens,68,Brooklyn,2.0,9.5,15.35,0.0,1
1,2021-03-22 11:26:12,2021-03-22 11:44:13,262,Manhattan,90,Brooklyn,4.4,17.0,20.3,0.0,2
2,2021-03-21 19:39:58,2021-03-21 19:46:10,79,Brooklyn,79,Brooklyn,0.79,6.0,10.8,0.0,1
2,2021-03-19 19:17:51,2021-03-19 19:32:13,237,Manhattan,246,Manhattan,2.18,11.0,18.36,0.0,1
1,2021-03-19 13:05:41,2021-03-19 13:08:10,90,Brooklyn,100,Brooklyn,0.5,4.0,8.8,0.0,1
1,2021-03-25 16:50:00,2021-03-25 17:01:45,162,Queens,233,Manhattan,1.6,9.5,16.28,0.0,1
2,2021-03-14 15:04:33,2021-03-14 15:24:00,144,Queens,49,Brooklyn,3.52,16.0,24.12,0.0,1
2,2021-03-29 18:10:26,2021-03-29 18:13:14,143,Queens,50,Brooklyn,0.6,4.0,9.96,0.0,1
