VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2023-08-22 16:18:19,2023-08-22 16:30:48,170,Brooklyn,140,Queens,1.96,12.8,23.16,0.0,1
2,2023-08-24 15:19:28,2023-08-24 15:22:34,141,Queens,263,Manhattan,0.9,6.5,12.6,0.0,1
2,2023-08-06 01:37:24,2023-08-06 01:50:02,48,Manhattan,263,Manhattan,3.5,17.7,26.1,0.0,1
2,2023-08-04 06:49:16,2023-08-04 07:15:39,230,Manhattan,138,Queens,11.99,48.5,80.06,6.55,1
1,2023-08-18 14:46:39,2023-08-18 15:47:10,132,Queens,238,Manhattan,23.5,70.0,90.0,6.94,1
2,2023-08-02 04:07:09,2023-08-02 04:11:17,48,Manhattan,43,Bronx,0.96,6.5,14.95,0.0,1
1,2023-08-23 04:13:31,2023-08-23 04:17:52,114,Queens,90,Brooklyn,1.1,7.2,14.6,0.0,1
2,2023-08-19 15:42:16,2023-08-19 16:17:40,48,Manhattan,148,Queens,4.39,32.4,43.68,0.0,1
1,2023-08-17 22:38:46,2023-08-17 22:52:32,48,Manhattan,107,Brooklyn,2.6,14.9,25.65,0.0,1
1,2023-08-24 21:54:03,2023-08-24 22:05:38,68,Brooklyn,231,Manhattan,2.0,12.1,19.1,0.0,1
2,2023-08-21 22:15:34,2023-08-21 22:36:17,100,Brooklyn,24,Manhattan,4.33,24.0,31.0,0.0,1
2,2023-08-18 21:33:28,2023-08-18 21:44:35,113,Queens,186,Queens,1.58,12.1,18.1,0.0,1
2,2023-08-04 13:56:01,2023-08-04 14:12:01,43,Bronx,233,Manhattan,2.35,16.3,24.36,0.0,1
2,2023-08-28 08:47:22,2023-08-28 09:22:01,186,Queens,140,Queens,3.34,29.6,40.32,0.0,1
1,2023-08-13 21:55:06,2023-08-13 22:12:27,141,Queens,249,Manhattan,3.9,19.8,31.0,0.0,1
2,2023-08-31 07:46:29,2023-08-31 07:55:32,262,Manhattan,75,Brooklyn,1.55,10.7,17.64,0.0,1
2,2023-08-30 12:03:02,2023-08-30 12:03:10,209,Manhattan,209,Manhattan,0.0,82.0,111.15,0.0,1
2,2023-08-17 20:47:20,2023-08-17 20:56:02,113,Queens,164,Brooklyn,1.05,10.0,18.0,0.0,1
2,2023-08-13 17:58:33,2023-08-13 18:13:55,50,Brooklyn,100,Brooklyn,1.0,13.5,17.5,0.0,2
1,2023-08-05 12:48:26,2023-08-05 12:50:07,151,Queens,24,Manhattan,0.3,3.7,5.2,0.0,2
2,2023-08-28 09:39:01,2023-08-28 09:58:52,48,Manhattan,237,Manhattan,2.51,19.1,27.72,0.0,1
1,2023-08-28 00:33:54,2023-08-28 00:52:42,48,Manhattan,144,Queens,3.6,21.2,26.2,0.0,1
2,2023-08-06 14:02:21,2023-08-06 14:09:49,236,Queens,236,Queens,0.0,7.9,11.9,0.0,2
1,2023-08-17 04:18:50,2023-08-17 04:42:10,113,Queens,247,Manhattan,9.6,37.3,50.75,0.0,1
1,2023-08-22 14:20:27,2023-08-22 14:31:06,239,Manhattan,163,Brooklyn,1.5,12.1,20.9,0.0,1
2,2023-08-24 10:59:24,2023-08-24 11:13:44,261,Manhattan,66,Brooklyn,2.07,14.9,18.9,0.0,1
2,2023-08-23 13:48:24,2023-08-24 13:10:33,129,Queens,41,Manhattan,6.96,31.0,39.44,6.94,2
2,2023-08-29 17:25:11,2023-08-29 17:45:38,68,Brooklyn,239,Manhattan,2.51,19.8,31.56,0.0,1
2,2023-08-04 09:51:32,2023-08-04 09:55:24,141,Queens,229,Manhattan,0.82,6.5,12.6,0.0,1
2,2023-08-22 20:40:44,2023-08-22 20:51:28,144,Queens,246,Manhattan,2.28,14.2,21.2,0.0,1
2,2023-08-18 21:47:08,2023-08-18 22:02:14,50,Brooklyn,230,Manhattan,1.17,14.2,23.04,0.0,1
2,2023-08-04 09:24:54,2023-08-04 09:29:31,237,Manhattan,161,Queens,1.01,7.2,11.2,0.0,2
1,2023-08-05 18:53:54,2023-08-05 19:03:34,170,Brooklyn,90,Brooklyn,1.8,11.4,18.17,0.0,1
2,2023-08-05 11:09:07,2023-08-05 11:15:54,164,Brooklyn,43,Bronx,1.2,8.6,15.12,0.0,1
2,2023-08-21 04:58:39,2023-08-21 05:04:27,162,Queens,186,Queens,1.16,7.9,16.12,0.0,1
2,2023-08-01 00:44:35,2023-08-01 00:50:55,138,Queens,70,Brooklyn,1.53,8.6,17.85,0.0,1
1,2023-08-04 01:29:36,2023-08-04 01:35:19,79,Brooklyn,229,Manhattan,2.5,11.4,19.65,0.0,1
1,2023-08-14 16:52:12,2023-08-14 17:08:09,141,Queens,114,Queens,3.5,17.7,29.0,0.0,1
2,2023-08-17 07:56:35,2023-08-17 08:15:05,239,Manhattan,161,Queens,2.48,17.7,27.12,0.0,1
1,2023-08-13 23:50:05,2023-08-14 00:11:45,249,Manhattan,41,Manhattan,7.2,31.0,37.5,0.0,1
2,2023-08-13 09:00:24,2023-08-13 09:10:16,148,Queens,33,Brooklyn,4.06,18.4,22.4,0.0,1
1,2023-08-23 19:36:17,2023-08-23 19:36:17,170,Brooklyn,264,Manhattan,0.0,12.8,19.3,0.0,2
2,2023-08-09 21:58:50,2023-08-09 22:12:07,246,Manhattan,170,Brooklyn,2.31,15.6,24.72,0.0,1
2,2023-08-12 23:04:25,2023-08-12 23:14:19,148,Queens,231,Manhattan,1.13,10.7,17.7,0.0,1
2,2023-08-17 16:14:55,2023-08-17 16:21:56,141,Queens,237,Manhattan,0.99,8.6,14.11,0.0,1
2,2023-08-09 08:29:15,2023-08-09 08:41:00,140,Queens,233,Manhattan,2.64,14.9,21.9,0.0,1
1,2023-08-09 18:30:35,2023-08-09 18:52:05,264,Manhattan,148,Queens,3.3,21.2,33.2,0.0,1
2,2023-08-08 16:50:28,2023-08-08 17:02:51,246,Manhattan,239,Manhattan,3.26,17.0,28.2,0.0,1
1,2023-08-27 23:12:06,2023-08-27 23:20:45,246,Manhattan,48,Manhattan,1.8,11.4,19.65,0.0,1
2,2023-08-28 13:10:41,2023-08-28 13:15:11,237,Manhattan,237,Manhattan,0.68,6.5,11.5,0.0,1
1,2023-08-04 18:11:03,2023-08-04 18:13:33,141,Queens,236,Queens,0.4,5.1,13.9,0.0,1
2,2023-08-26 07:48:21,2023-08-26 08:22:51,132,Queens,141,Queens,18.04,70.0,98.88,6.94,1
2,2023-08-14 09:09:54,2023-08-14 09:15:28,107,Brooklyn,164,Brooklyn,0.71,7.2,12.2,0.0,1
2,2023-08-19 01:38:52,2023-08-19 01:51:53,231,Manhattan,256,Manhattan,2.86,16.3,25.56,0.0,1
2,2023-08-20 20:10:14,2023-08-20 20:15:57,263,Manhattan,236,Queens,0.91,7.9,15.48,0.0,1
2,2023-08-26 04:36:58,2023-08-26 04:55:32,148,Queens,133,Queens,9.22,37.3,42.3,0.0,2
2,2023-08-04 11:22:16,2023-08-04 11:32:44,142,Queens,236,Queens,2.07,12.8,16.8,0.0,2
2,2023-08-19 09:52:31,2023-08-19 10:24:09,50,Brooklyn,82,Brooklyn,9.14,41.5,54.6,0.0,1
1,2023-08-28 09:32:52,2023-08-28 09:39:40,143,Queens,239,Manhattan,0.5,6.5,12.6,0.0,1
2,2023-08-26 18:40:10,2023-08-26 18:47:11,238,Manhattan,239,Manhattan,1.09,8.6,14.49,0.0,1
2,2023-08-18 17:40:24,2023-08-18 18:00:52,264,Manhattan,264,Manhattan,2.72,19.8,26.3,0.0,2
2,2023-08-26 23:17:03,2023-08-26 23:17:21,265,Manhattan,265,Manhattan,0.0,300.0,301.0,0.0,1
2,2023-08-09 08:51:11,2023-08-09 09:04:17,237,Manhattan,170,Brooklyn,1.87,15.71,21.68,0.0,0
2,2023-08-02 20:17:15,2023-08-02 20:20:44,246,Manhattan,50,Brooklyn,0.85,6.5,11.5,0.0,2
2,2023-08-10 22:40:23,2023-08-10 22:56:19,48,Manhattan,125,Queens,3.41,19.8,29.76,0.0,1
2,2023-08-16 14:01:25,2023-08-16 14:24:48,100,Brooklyn,231,Manhattan,2.99,21.9,30.9,0.0,1
