VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2023-06-10 19:42:23,2023-06-10 20:33:32,132,Queens,211,Manhattan,19.6,70.0,82.3,6.55,1
2,2023-06-10 13:33:07,2023-06-10 13:39:58,148,Queens,224,Manhattan,1.06,8.6,12.6,0.0,2
2,2023-06-25 15:20:09,2023-06-25 15:28:15,230,Manhattan,170,Brooklyn,0.76,8.6,15.12,0.0,1
2,2023-06-08 11:14:56,2023-06-08 11:19:37,262,Manhattan,236,Queens,0.63,6.5,13.5,0.0,1
2,2023-06-06 08:03:34,2023-06-06 08:26:20,41,Manhattan,48,Manhattan,3.83,23.3,29.3,0.0,1
2,2023-06-16 16:13:58,2023-06-16 16:24:11,238,Manhattan,236,Queens,1.28,11.4,17.9,0.0,2
2,2023-06-07 12:16:19,2023-06-07 12:44:26,236,Queens,261,Manhattan,8.72,41.5,54.6,0.0,1
2,2023-06-17 21:13:17,2023-06-17 21:24:28,140,Queens,236,Queens,1.72,12.1,17.1,0.0,2
1,2023-06-19 17:31:15,2023-06-19 17:46:14,164,Brooklyn,140,Queens,2.3,13.5,25.0,0.0,1
2,2023-06-08 20:07:58,2023-06-08 20:12:10,237,Manhattan,141,Queens,0.87,6.5,14.5,0.0,1
1,2023-06-19 13:01:04,2023-06-19 13:11:22,237,Manhattan,236,Queens,1.1,10.7,17.6,0.0,1
2,2023-06-18 10:38:10,2023-06-18 10:46:33,100,Brooklyn,142,Queens,1.39,10.0,14.0,0.0,2
2,2023-06-02 01:18:42,2023-06-02 01:25:46,114,Queens,234,Manhattan,1.81,10.7,16.7,0.0,1
2,2023-06-23 00:57:50,2023-06-23 01:04:21,230,Manhattan,68,Brooklyn,1.08,8.6,14.96,0.0,1
2,2023-06-14 10:39:12,2023-06-14 10:42:59,262,Manhattan,140,Queens,0.81,6.5,13.8,0.0,1
2,2023-06-27 20:15:02,2023-06-27 20:19:17,137,Queens,233,Manhattan,0.76,6.5,12.5,0.0,1
2,2023-06-04 02:21:07,2023-06-04 02:26:02,100,Brooklyn,170,Brooklyn,0.66,6.5,11.5,0.0,1
2,2023-06-28 16:15:09,2023-06-28 16:34:59,158,Queens,230,Manhattan,3.24,19.8,32.88,0.0,1
2,2023-06-27 23:11:45,2023-06-27 23:54:29,132,Queens,236,Queens,19.76,70.0,98.41,6.55,1
1,2023-06-15 23:42:35,2023-06-15 23:54:42,186,Queens,233,Manhattan,1.7,12.8,17.8,0.0,2
1,2023-06-06 13:31:04,2023-06-06 13:36:13,68,Brooklyn,249,Manhattan,1.1,7.2,12.2,0.0,1
2,2023-06-08 00:12:42,2023-06-08 00:17:49,161,Queens,237,Manhattan,1.17,7.9,12.9,0.0,1
2,2023-06-12 15:46:30,2023-06-12 15:56:29,161,Queens,162,Queens,0.68,9.3,13.3,0.0,2
2,2023-06-10 10:56:56,2023-06-10 11:04:21,68,Brooklyn,100,Brooklyn,1.7,10.0,14.0,0.0,1
1,2023-06-16 15:58:49,2023-06-16 16:50:57,70,Brooklyn,161,Queens,9.5,52.7,80.0,6.55,1
2,2023-06-08 06:34:22,2023-06-08 06:42:30,249,Manhattan,161,Queens,2.56,12.8,19.32,0.0,1
2,2023-06-10 02:44:40,2023-06-10 02:55:06,249,Manhattan,137,Queens,2.43,13.5,19.5,0.0,1
2,2023-06-13 22:50:57,2023-06-13 23:09:57,161,Queens,243,Manhattan,8.33,35.2,45.7,0.0,1
1,2023-06-28 11:17:04,2023-06-28 11:24:32,43,Bronx,236,Queens,0.8,7.9,14.3,0.0,1
2,2023-06-10 21:53:45,2023-06-10 21:59:01,237,Manhattan,263,Manhattan,1.55,8.6,17.0,0.0,1
2,2023-06-26 00:17:27,2023-06-26 00:37:24,158,Queens,25,Manhattan,4.6,23.3,33.96,0.0,1
1,2023-06-11 16:54:19,2023-06-11 17:01:33,137,Queens,161,Queens,1.4,9.3,15.95,0.0,1
2,2023-06-06 15:19:30,2023-06-06 15:25:53,141,Queens,263,Manhattan,1.01,7.9,14.28,0.0,1
2,2023-06-24 12:21:48,2023-06-24 12:35:08,233,Manhattan,249,Manhattan,2.84,15.6,23.52,0.0,1
1,2023-06-29 15:33:18,2023-06-29 16:23:40,138,Queens,234,Manhattan,9.0,51.3,73.6,6.55,1
2,2023-06-22 10:51:16,2023-06-22 10:57:20,43,Bronx,161,Queens,0.98,7.9,11.9,0.0,2
1,2023-06-06 11:20:03,2023-06-06 11:46:08,170,Brooklyn,246,Manhattan,1.7,20.5,27.5,0.0,1
