VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2024-01-24 22:31:07,2024-01-24 22:53:23,231,Manhattan,237,Manhattan,4.23,27.53,31.53,0.0,0
2,2024-01-26 16:05:21,2024-01-26 16:27:53,211,Manhattan,161,Queens,2.84,21.2,30.24,0.0,1
2,2024-01-04 07:34:29,2024-01-04 07:41:40,100,Brooklyn,162,Queens,1.06,8.6,15.12,0.0,1
2,2024-01-03 09:23:30,2024-01-03 09:49:51,151,Queens,140,Queens,3.55,24.7,34.44,0.0,1
1,2024-01-12 13:51:09,2024-01-12 14:11:08,239,Manhattan,74,Brooklyn,3.3,20.5,30.6,0.0,1
2,2024-01-18 15:12:57,2024-01-18 15:29:54,236,Queens,237,Manhattan,1.36,15.6,19.6,0.0,2
2,2024-01-12 13:14:02,2024-01-12 13:19:58,79,Brooklyn,113,Queens,0.83,7.2,13.44,0.0,1
2,2024-01-28 23:10:32,2024-01-28 23:32:51,138,Queens,177,Queens,12.78,49.2,69.79,0.0,1
1,2024-01-21 13:30:38,2024-01-21 13:46:02,161,Queens,249,Manhattan,2.4,15.6,19.6,0.0,3
2,2024-01-12 12:22:28,2024-01-12 12:43:47,261,Manhattan,233,Manhattan,5.42,28.2,38.64,0.0,1
2,2024-01-19 10:34:25,2024-01-19 10:41:44,90,Brooklyn,170,Brooklyn,1.57,9.3,13.3,0.0,2
2,2024-01-03 00:15:16,2024-01-03 00:30:01,138,Queens,49,Brooklyn,8.29,33.1,50.47,0.0,1
2,2024-01-01 05:29:34,2024-01-01 05:38:38,48,Manhattan,100,Brooklyn,1.57,10.7,15.7,0.0,1
2,2024-01-29 17:34:18,2024-01-29 17:38:18,239,Manhattan,238,Manhattan,0.61,5.8,15.38,0.0,1
2,2024-01-30 05:45:17,2024-01-30 05:56:13,262,Manhattan,88,Brooklyn,6.9,27.5,39.0,0.0,1
2,2024-01-12 16:58:33,2024-01-12 17:03:24,140,Queens,263,Manhattan,1.17,7.9,15.9,0.0,1
1,2024-01-06 12:23:08,2024-01-06 12:33:16,162,Queens,107,Brooklyn,1.9,12.1,18.6,0.0,1
1,2024-01-29 09:52:02,2024-01-29 09:58:14,142,Queens,161,Queens,1.1,8.6,13.23,0.0,1
2,2024-01-02 17:15:03,2024-01-02 17:29:53,79,Brooklyn,141,Queens,3.04,17.0,28.2,0.0,1
2,2024-01-21 20:00:24,2024-01-21 20:05:22,162,Queens,170,Brooklyn,1.02,7.2,14.64,0.0,1
2,2024-01-03 17:23:16,2024-01-03 17:42:15,230,Manhattan,229,Manhattan,1.48,15.6,22.1,0.0,2
2,2024-01-01 03:14:14,2024-01-01 03:18:35,158,Queens,68,Brooklyn,0.81,6.5,14.38,0.0,1
2,2024-01-25 17:25:09,2024-01-25 17:43:13,48,Manhattan,161,Queens,1.31,16.3,28.5,0.0,1
2,2024-01-28 10:53:24,2024-01-28 10:59:17,239,Manhattan,238,Manhattan,0.87,7.9,11.9,0.0,2
1,2024-01-25 12:47:42,2024-01-25 12:59:10,230,Manhattan,43,Bronx,1.6,12.1,19.3,0.0,1
2,2024-01-31 15:29:19,2024-01-31 15:33:56,236,Queens,236,Queens,0.59,6.5,12.6,0.0,1
2,2024-01-03 10:40:00,2024-01-03 10:52:06,138,Queens,56,Brooklyn,4.77,21.2,31.45,0.0,1
1,2024-01-13 20:13:22,2024-01-13 20:19:00,48,Manhattan,68,Brooklyn,1.0,7.2,14.64,0.0,1
2,2024-01-31 12:10:07,2024-01-31 12:26:18,140,Queens,137,Queens,2.7,19.8,28.56,0.0,1
2,2024-01-07 17:27:00,2024-01-07 17:30:57,142,Queens,238,Manhattan,1.16,6.5,12.6,0.0,1
2,2024-01-19 15:23:19,2024-01-19 15:41:33,237,Manhattan,100,Brooklyn,2.52,17.0,25.2,0.0,1
2,2024-01-10 06:46:32,2024-01-10 06:49:10,163,Brooklyn,237,Manhattan,0.62,5.1,10.92,0.0,1
2,2024-01-30 16:16:34,2024-01-30 16:49:47,132,Queens,75,Brooklyn,17.07,70.0,85.19,6.94,2
1,2024-01-21 20:41:42,2024-01-21 20:45:32,164,Brooklyn,234,Manhattan,0.9,6.5,14.35,0.0,1
2,2024-01-24 16:47:33,2024-01-24 17:00:40,13,Manhattan,246,Manhattan,2.49,15.6,26.52,0.0,1
1,2024-01-15 17:06:27,2024-01-15 17:09:38,249,Manhattan,113,Queens,0.7,5.8,14.75,0.0,1
2,2024-01-20 13:14:17,2024-01-20 13:26:13,162,Queens,230,Manhattan,1.1,-12.1,-16.1,0.0,2
2,2024-01-29 15:28:02,2024-01-29 15:30:39,100,Brooklyn,230,Manhattan,0.53,5.1,9.1,0.0,2
2,2024-01-16 17:56:41,2024-01-16 18:15:12,239,Manhattan,263,Manhattan,2.96,18.4,25.9,0.0,1
1,2024-01-11 12:52:47,2024-01-11 13:32:44,88,Brooklyn,138,Queens,15.4,63.9,89.84,6.94,1
2,2024-01-29 08:07:59,2024-01-29 08:14:07,237,Manhattan,236,Queens,0.45,7.2,13.44,0.0,1
2,2024-01-17 11:00:33,2024-01-17 12:14:10,230,Manhattan,132,Queens,17.87,70.0,105.22,6.94,1
2,2024-01-22 10:59:00,2024-01-22 11:05:29,236,Queens,238,Manhattan,1.36,9.3,15.96,0.0,1
1,2024-01-16 20:35:43,2024-01-16 20:45:14,161,Queens,230,Manhattan,1.1,10.0,18.0,0.0,1
1,2024-01-10 12:43:00,2024-01-10 12:58:27,138,Queens,170,Brooklyn,8.0,31.7,54.39,6.94,1
2,2024-01-29 00:30:31,2024-01-29 00:34:48,79,Brooklyn,107,Brooklyn,0.81,6.5,13.8,0.0,1
1,2024-01-30 12:15:27,2024-01-30 12:15:42,231,Manhattan,231,Manhattan,9.5,100.0,121.2,0.0,1
2,2024-01-10 09:33:24,2024-01-10 09:41:22,224,Manhattan,229,Manhattan,1.89,10.7,17.64,0.0,1
1,2024-01-03 08:31:12,2024-01-03 08:42:14,249,Manhattan,107,Brooklyn,1.9,11.4,18.4,0.0,1
2,2024-01-08 06:56:52,2024-01-08 07:03:23,238,Manhattan,143,Queens,1.62,9.3,16.62,0.0,1
2,2024-01-04 22:41:28,2024-01-04 22:47:26,246,Manhattan,234,Manhattan,0.92,7.2,14.64,0.0,1
2,2024-01-21 20:28:59,2024-01-21 20:33:58,162,Queens,236,Queens,1.36,7.9,15.48,0.0,1
2,2024-01-31 19:50:18,2024-01-31 20:03:45,164,Brooklyn,263,Manhattan,2.9,15.6,26.52,0.0,1
2,2024-01-21 17:19:48,2024-01-21 17:25:28,211,Manhattan,249,Manhattan,1.44,8.6,15.12,0.0,1
2,2024-01-20 09:37:30,2024-01-20 09:45:14,186,Queens,230,Manhattan,1.07,8.6,15.12,0.0,1
2,2024-01-09 15:06:57,2024-01-09 15:29:52,237,Manhattan,236,Queens,1.65,19.1,26.56,0.0,1
2,2024-01-04 22:59:40,2024-01-04 23:04:57,142,Queens,151,Queens,1.75,9.3,17.16,0.0,1
2,2024-01-10 00:29:20,2024-01-10 00:49:46,68,Brooklyn,36,Manhattan,7.1,31.0,51.53,6.94,1
2,2024-01-07 17:48:41,2024-01-07 18:19:38,132,Queens,170,Brooklyn,16.7,70.0,90.0,6.94,1
2,2024-01-05 19:11:57,2024-01-05 19:22:36,143,Queens,166,Brooklyn,2.61,13.5,25.0,0.0,1
2,2024-01-21 21:53:44,2024-01-21 22:03:04,142,Queens,229,Manhattan,1.61,11.92,15.92,0.0,0
2,2024-01-10 10:58:42,2024-01-10 11:23:40,138,Queens,239,Manhattan,9.59,40.1,68.19,6.94,1
2,2024-01-20 00:09:16,2024-01-20 00:19:21,144,Queens,113,Queens,1.21,10.7,17.27,0.0,1
2,2024-01-12 05:45:42,2024-01-12 05:45:54,100,Brooklyn,100,Brooklyn,0.02,-3.0,-8.0,0.0,2
2,2024-01-17 14:46:06,2024-01-17 14:57:54,161,Queens,237,Manhattan,0.93,11.4,18.48,0.0,1
2,2024-01-11 11:06:25,2024-01-11 11:29:56,132,Queens,30,Manhattan,10.85,44.3,52.75,5.2,2
2,2024-01-01 03:42:59,2024-01-01 03:56:03,107,Brooklyn,125,Queens,2.19,14.2,23.04,0.0,1
1,2024-01-14 21:06:34,2024-01-14 21:13:11,170,Brooklyn,233,Manhattan,1.0,8.6,14.6,0.0,1
1,2024-01-13 00:17:29,2024-01-13 00:29:25,158,Queens,79,Brooklyn,1.2,10.7,18.85,0.0,1
2,2024-01-05 00:10:32,2024-01-05 00:31:14,132,Queens,175,Queens,12.23,47.1,59.05,0.0,1
2,2024-01-21 09:52:30,2024-01-21 09:57:07,170,Brooklyn,79,Brooklyn,1.19,7.2,13.44,0.0,1
1,2024-01-24 01:01:32,2024-01-24 01:19:46,186,Queens,249,Manhattan,2.4,15.6,24.7,0.0,1
1,2024-01-09 13:15:03,2024-01-09 13:25:43,237,Manhattan,162,Queens,1.3,11.4,18.45,0.0,1
1,2024-01-04 12:47:30,2024-01-04 12:54:51,142,Queens,237,Manhattan,1.0,8.6,15.1,0.0,1
