VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
1,2022-10-22 14:59:10,2022-10-22 15:54:29,48,Manhattan,132,Queens,21.9,52.0,77.3,6.55,1
2,2022-10-02 10:18:41,2022-10-02 10:37:07,163,Brooklyn,88,Brooklyn,6.59,21.5,29.76,0.0,1
1,2022-10-08 17:40:36,2022-10-08 18:15:41,211,Manhattan,48,Manhattan,3.5,22.0,30.35,0.0,1
2,2022-10-21 19:34:54,2022-10-21 19:46:50,142,Queens,100,Brooklyn,1.42,9.0,15.96,0.0,1
2,2022-10-21 12:42:03,2022-10-21 13:04:48,142,Queens,263,Manhattan,2.95,15.5,22.56,0.0,1
2,2022-10-21 12:00:27,2022-10-21 12:39:30,138,Queens,230,Manhattan,10.76,36.5,54.74,6.55,1
2,2022-10-23 16:27:39,2022-10-23 16:53:31,100,Brooklyn,141,Queens,2.73,17.0,24.36,0.0,1
2,2022-10-02 15:31:16,2022-10-02 15:45:00,143,Queens,237,Manhattan,1.48,10.0,17.29,0.0,1
2,2022-10-08 20:02:00,2022-10-08 20:16:28,33,Brooklyn,189,Queens,1.96,11.0,14.76,0.0,1
2,2022-10-19 11:26:27,2022-10-19 11:49:53,141,Queens,246,Manhattan,3.46,17.0,26.39,0.0,1
2,2022-10-10 09:56:05,2022-10-10 10:24:03,138,Queens,145,Queens,6.42,24.0,26.05,0.0,1
2,2022-10-30 14:16:49,2022-10-30 15:07:55,132,Queens,161,Queens,18.85,52.0,63.1,6.55,2
2,2022-10-05 12:56:27,2022-10-05 13:16:56,143,Queens,116,Queens,4.16,16.5,24.75,0.0,1
2,2022-10-11 20:52:38,2022-10-11 21:11:52,263,Manhattan,162,Queens,2.15,11.0,14.8,0.0,2
1,2022-10-11 12:31:37,2022-10-11 13:05:11,261,Manhattan,138,Queens,17.1,48.0,69.4,6.55,1
2,2022-10-19 07:35:57,2022-10-19 07:38:44,164,Brooklyn,161,Queens,0.52,4.0,8.76,0.0,1
1,2022-10-22 02:29:43,2022-10-22 02:54:37,68,Brooklyn,127,Queens,10.3,31.0,39.8,0.0,1
2,2022-10-19 10:07:45,2022-10-19 10:20:04,237,Manhattan,161,Queens,1.18,9.0,14.51,0.0,1
2,2022-10-08 14:16:19,2022-10-08 14:25:42,237,Manhattan,161,Queens,1.28,8.0,13.0,0.0,1
2,2022-10-29 22:16:44,2022-10-29 22:48:02,140,Queens,209,Manhattan,6.52,26.0,31.8,0.0,1
2,2022-10-04 16:17:12,2022-10-04 16:31:00,43,Bronx,161,Queens,1.48,10.0,14.3,0.0,2
2,2022-10-04 10:50:08,2022-10-04 10:59:34,48,Manhattan,246,Manhattan,1.13,8.0,13.56,0.0,1
2,2022-10-17 12:40:10,2022-10-18 12:25:01,186,Queens,239,Manhattan,2.93,13.5,20.16,0.0,1
2,2022-10-16 04:16:31,2022-10-16 04:26:42,100,Brooklyn,229,Manhattan,1.58,8.5,12.3,0.0,2
2,2022-10-13 08:49:15,2022-10-13 09:19:41,13,Manhattan,163,Brooklyn,7.97,28.0,39.12,0.0,1
1,2022-10-30 23:38:22,2022-10-30 23:45:21,237,Manhattan,142,Queens,1.3,7.0,12.95,0.0,1
1,2022-10-01 14:06:27,2022-10-01 14:34:51,138,Queens,100,Brooklyn,8.7,28.5,39.6,6.55,2
2,2022-10-19 16:23:15,2022-10-19 16:34:43,186,Queens,48,Manhattan,1.02,8.5,12.8,0.0,2
1,2022-10-16 13:12:24,2022-10-16 13:19:22,141,Queens,237,Manhattan,0.8,6.0,9.3,0.0,3
2,2022-10-26 19:07:13,2022-10-26 19:15:24,140,Queens,229,Manhattan,1.7,8.0,12.3,0.0,2
1,2022-10-02 18:33:25,2022-10-02 18:55:49,100,Brooklyn,4,Manhattan,3.1,15.5,18.8,0.0,1
2,2022-10-20 13:27:56,2022-10-20 13:36:27,13,Manhattan,87,Brooklyn,0.8,6.5,9.8,0.0,1
2,2022-10-02 18:18:56,2022-10-02 18:28:35,163,Brooklyn,237,Manhattan,0.3,7.0,12.36,0.0,1
2,2022-10-31 23:43:10,2022-10-31 23:45:47,141,Queens,141,Queens,0.42,4.0,9.36,0.0,1
2,2022-10-09 01:39:22,2022-10-09 01:43:24,48,Manhattan,48,Manhattan,0.78,5.0,9.8,0.0,1
2,2022-10-26 05:41:40,2022-10-26 06:03:45,132,Queens,216,Manhattan,6.46,22.5,25.05,0.0,2
2,2022-10-25 07:05:27,2022-10-25 07:15:26,249,Manhattan,170,Brooklyn,1.88,9.0,14.76,0.0,1
2,2022-10-19 20:21:43,2022-10-19 20:32:26,239,Manhattan,41,Manhattan,2.11,10.0,16.56,0.0,1
2,2022-10-03 21:16:36,2022-10-03 21:29:59,70,Brooklyn,112,Queens,7.07,20.5,27.25,0.0,1
1,2022-10-07 11:22:51,2022-10-07 11:38:02,236,Queens,161,Queens,2.2,12.0,19.13,0.0,1
2,2022-10-04 00:00:58,2022-10-04 00:16:32,90,Brooklyn,236,Queens,4.51,15.0,22.56,0.0,1
1,2022-10-20 00:08:19,2022-10-20 00:19:24,249,Manhattan,170,Brooklyn,2.1,9.5,13.3,0.0,2
2,2022-10-21 10:19:21,2022-10-21 10:38:15,230,Manhattan,246,Manhattan,2.28,13.0,19.56,0.0,1
2,2022-10-15 11:38:43,2022-10-15 11:52:47,262,Manhattan,140,Queens,2.46,11.5,14.8,0.0,2
2,2022-10-29 19:58:29,2022-10-29 20:03:44,238,Manhattan,142,Queens,1.24,6.0,11.16,0.0,1
2,2022-10-06 18:40:35,2022-10-06 18:48:48,229,Manhattan,161,Queens,0.89,6.5,12.96,0.0,1
2,2022-10-08 04:23:32,2022-10-08 04:28:26,90,Brooklyn,50,Brooklyn,1.46,6.0,11.76,0.0,1
2,2022-10-14 13:51:13,2022-10-14 14:10:47,114,Queens,162,Queens,2.71,14.5,18.8,0.0,1
2,2022-10-03 16:59:43,2022-10-03 17:13:19,186,Queens,162,Queens,1.45,10.0,17.16,0.0,1
1,2022-10-07 04:27:51,2022-10-07 04:39:41,144,Queens,230,Manhattan,3.0,11.5,15.3,0.0,1
1,2022-10-01 04:02:29,2022-10-01 04:06:04,79,Brooklyn,170,Brooklyn,1.0,5.0,10.12,0.0,0
2,2022-10-20 20:08:13,2022-10-20 20:27:55,264,Manhattan,264,Manhattan,5.77,19.5,25.3,0.0,1
2,2022-10-02 07:01:23,2022-10-02 07:13:01,48,Manhattan,224,Manhattan,2.52,10.5,16.56,0.0,1
1,2022-10-10 06:15:09,2022-10-10 06:28:06,107,Brooklyn,263,Manhattan,4.0,13.0,19.55,0.0,1
1,2022-10-24 16:59:52,2022-10-24 17:36:07,141,Queens,82,Brooklyn,5.5,23.5,27.8,0.0,2
2,2022-10-07 11:43:25,2022-10-07 12:11:10,186,Queens,162,Queens,1.28,16.5,23.76,0.0,1
2,2022-10-31 21:40:05,2022-10-31 21:52:25,141,Queens,74,Brooklyn,2.68,11.0,17.76,0.0,1
1,2022-10-12 18:42:35,2022-10-12 19:11:21,237,Manhattan,246,Manhattan,3.9,19.5,27.37,0.0,1
2,2022-10-31 09:20:04,2022-10-31 09:26:11,107,Brooklyn,162,Queens,1.39,6.5,11.76,0.0,1
1,2022-10-06 00:12:19,2022-10-06 00:36:59,211,Manhattan,143,Queens,6.6,22.5,31.3,0.0,1
2,2022-10-21 18:42:31,2022-10-21 18:48:54,43,Bronx,142,Queens,0.83,6.0,12.36,0.0,1
2,2022-10-30 23:15:03,2022-10-30 23:36:21,90,Brooklyn,42,Manhattan,7.01,21.0,24.8,0.0,2
1,2022-10-03 17:41:52,2022-10-03 17:47:52,142,Queens,43,Bronx,1.4,6.5,11.8,0.0,1
2,2022-10-23 16:49:09,2022-10-23 17:05:31,234,Manhattan,144,Queens,1.88,11.0,17.16,0.0,1
2,2022-10-11 00:19:50,2022-10-11 00:20:05,166,Brooklyn,166,Brooklyn,0.0,-52.0,-52.8,0.0,3
2,2022-10-17 12:18:57,2022-10-17 12:33:58,211,Manhattan,234,Manhattan,1.84,10.5,15.8,0.0,1
1,2022-10-15 00:38:39,2022-10-15 00:52:49,148,Queens,137,Queens,2.4,11.5,18.35,0.0,1
1,2022-10-20 22:42:57,2022-10-20 23:20:22,132,Queens,238,Manhattan,18.9,52.0,72.1,6.55,1
2,2022-10-20 02:40:59,2022-10-20 02:41:04,265,Manhattan,265,Manhattan,0.0,50.0,50.3,0.0,2
2,2022-10-12 16:49:48,2022-10-12 16:59:59,164,Brooklyn,161,Queens,1.28,8.0,12.3,0.0,2
1,2022-10-26 14:16:57,2022-10-26 14:36:40,146,Queens,141,Queens,2.5,24.5,27.8,0.0,2
2,2022-10-01 03:18:35,2022-10-01 03:33:29,148,Queens,229,Manhattan,3.45,13.0,18.8,0.0,1
1,2022-10-19 21:59:10,2022-10-19 22:14:44,211,Manhattan,170,Brooklyn,2.6,12.0,18.3,0.0,1
1,2022-10-14 17:19:08,2022-10-14 19:05:39,138,Queens,88,Brooklyn,16.9,70.0,97.1,6.55,1
2,2022-10-20 15:56:53,2022-10-20 16:12:09,13,Manhattan,231,Manhattan,1.16,10.5,16.56,0.0,1
2,2022-10-08 07:57:34,2022-10-08 08:08:01,170,Brooklyn,13,Manhattan,5.77,17.5,24.96,0.0,1
2,2022-10-08 15:50:20,2022-10-08 15:58:38,246,Manhattan,68,Brooklyn,1.15,7.0,12.36,0.0,1
1,2022-10-09 16:53:50,2022-10-09 16:57:44,43,Bronx,43,Bronx,0.6,4.5,7.8,0.0,2
2,2022-10-20 21:04:21,2022-10-20 21:17:49,231,Manhattan,90,Brooklyn,2.77,12.0,18.55,0.0,1
2,2022-10-16 07:06:11,2022-10-16 07:16:00,238,Manhattan,68,Brooklyn,3.36,11.0,18.59,0.0,1
2,2022-10-16 05:38:17,2022-10-16 05:43:19,163,Brooklyn,162,Queens,1.49,6.5,10.3,0.0,2
2,2022-10-08 11:19:32,2022-10-08 11:26:46,151,Queens,142,Queens,1.69,7.5,14.04,0.0,1
2,2022-10-26 15:12:21,2022-10-26 15:37:28,158,Queens,161,Queens,2.67,16.5,19.8,0.0,2
2,2022-10-17 14:16:16,2022-10-17 14:27:26,141,Queens,137,Queens,2.01,9.5,15.36,0.0,1
2,2022-10-29 02:28:24,2022-10-29 02:37:39,79,Brooklyn,233,Manhattan,1.66,8.5,12.3,0.0,2
1,2022-10-04 08:10:25,2022-10-04 08:21:34,90,Brooklyn,246,Manhattan,1.3,7.5,12.95,0.0,1
1,2022-10-04 06:15:20,2022-10-04 06:32:11,140,Queens,231,Manhattan,8.4,25.0,35.35,0.0,1
2,2022-10-12 19:41:25,2022-10-12 19:56:38,138,Queens,179,Queens,3.73,14.5,21.06,0.0,1
2,2022-10-16 12:40:10,2022-10-16 12:54:29,13,Manhattan,68,Brooklyn,3.59,13.5,20.16,0.0,1
2,2022-10-19 12:28:00,2022-10-19 12:32:24,236,Queens,236,Queens,0.5,5.0,10.0,0.0,1
2,2022-10-15 18:20:23,2022-10-15 18:28:28,236,Queens,237,Manhattan,1.05,7.0,12.36,0.0,1
2,2022-10-23 19:04:33,2022-10-23 19:20:01,107,Brooklyn,162,Queens,2.05,11.5,17.02,0.0,1
2,2022-10-10 19:05:19,2022-10-10 19:16:08,230,Manhattan,90,Brooklyn,1.78,9.0,15.96,0.0,1
2,2022-10-18 19:44:00,2022-10-18 19:54:27,141,Queens,162,Queens,1.81,9.0,15.96,0.0,1
2,2022-10-01 20:50:17,2022-10-01 20:50:22,132,Queens,132,Queens,0.0,-2.5,-5.05,0.0,2
2,2022-10-09 06:48:02,2022-10-09 06:54:07,186,Queens,163,Brooklyn,1.43,7.0,12.88,0.0,1
1,2022-10-21 18:38:12,2022-10-21 18:44:00,48,Manhattan,68,Brooklyn,1.1,6.0,10.3,0.0,2
1,2022-10-14 19:46:41,2022-10-14 19:56:00,137,Queens,163,Brooklyn,1.7,8.5,15.35,0.0,1
