VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-05-30 16:08:27,2021-05-30 16:21:31,138,Queens,95,Brooklyn,4.92,16.5,18.55,0.0,2
2,2021-05-14 08:58:45,2021-05-14 09:08:01,68,Brooklyn,113,Queens,1.3,7.5,10.8,0.0,2
1,2021-05-08 23:16:17,2021-05-08 23:44:16,90,Brooklyn,224,Manhattan,4.3,19.5,29.1,0.0,1
2,2021-05-23 22:17:38,2021-05-23 22:26:20,79,Brooklyn,90,Brooklyn,1.61,8.0,11.8,0.0,2
2,2021-05-05 16:52:39,2021-05-05 17:00:53,161,Queens,233,Manhattan,1.16,7.0,14.69,0.0,1
2,2021-05-21 00:24:50,2021-05-21 00:37:14,151,Queens,236,Queens,2.57,11.5,96.3,0.0,1
1,2021-05-21 15:47:17,2021-05-21 16:10:11,142,Queens,90,Brooklyn,2.6,15.5,20.8,0.0,1
2,2021-05-18 11:34:40,2021-05-18 11:48:51,170,Brooklyn,140,Queens,2.35,11.0,14.87,0.0,1
1,2021-05-28 21:32:59,2021-05-28 21:56:33,138,Queens,37,Manhattan,9.4,29.0,37.85,0.0,1
2,2021-05-14 17:41:26,2021-05-14 17:58:47,24,Manhattan,152,Queens,1.29,11.0,15.36,0.0,1
1,2021-05-11 19:21:39,2021-05-11 19:30:04,170,Brooklyn,234,Manhattan,1.7,8.0,14.75,0.0,1
1,2021-05-01 10:19:42,2021-05-01 10:26:57,238,Manhattan,236,Queens,1.5,7.5,10.8,0.0,2
2,2021-05-10 10:56:09,2021-05-10 11:14:37,107,Brooklyn,246,Manhattan,1.75,12.5,17.8,0.0,1
2,2021-05-17 11:06:03,2021-05-17 11:18:55,229,Manhattan,234,Manhattan,2.56,11.0,17.16,0.0,1
2,2021-05-11 13:57:14,2021-05-11 14:01:44,151,Queens,238,Manhattan,0.73,5.0,10.79,0.0,1
