VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2022-09-25 04:51:12,2022-09-25 04:51:18,233,Manhattan,233,Manhattan,0.0,10.3,15.72,0.0,1
1,2022-09-10 00:48:59,2022-09-10 01:01:56,236,Queens,224,Manhattan,4.2,15.0,22.55,0.0,1
1,2022-09-07 12:52:22,2022-09-07 12:59:27,234,Manhattan,68,Brooklyn,1.0,6.0,11.3,0.0,1
2,2022-09-23 11:01:22,2022-09-23 11:27:39,43,Bronx,68,Brooklyn,6.28,24.0,32.76,0.0,1
2,2022-09-05 03:37:50,2022-09-05 03:43:10,68,Brooklyn,230,Manhattan,1.96,7.5,12.3,0.0,1
1,2022-09-28 16:06:37,2022-09-28 20:14:12,197,Manhattan,119,Queens,14.8,39.2,46.55,6.55,1
1,2022-09-23 11:02:35,2022-09-23 11:11:34,141,Queens,229,Manhattan,1.4,8.0,13.55,0.0,1
2,2022-09-20 08:32:19,2022-09-20 08:36:14,231,Manhattan,211,Manhattan,0.66,4.5,9.36,0.0,1
2,2022-09-02 03:00:29,2022-09-02 03:03:39,161,Queens,161,Queens,0.73,4.5,10.38,0.0,1
2,2022-09-25 00:27:17,2022-09-25 00:35:11,162,Queens,164,Brooklyn,1.43,7.5,11.3,0.0,1
2,2022-09-25 09:54:53,2022-09-25 10:07:08,233,Manhattan,90,Brooklyn,2.3,10.0,14.3,0.0,1
1,2022-09-02 02:53:25,2022-09-02 02:58:38,246,Manhattan,186,Queens,0.8,5.5,11.3,0.0,1
2,2022-09-01 19:32:58,2022-09-01 19:42:45,100,Brooklyn,68,Brooklyn,1.5,8.0,13.8,0.0,1
2,2022-09-02 02:08:24,2022-09-02 02:12:10,142,Queens,238,Manhattan,1.46,6.0,11.76,0.0,1
2,2022-09-06 15:34:10,2022-09-06 15:50:22,263,Manhattan,239,Manhattan,1.84,12.0,17.6,0.0,1
2,2022-09-07 13:22:40,2022-09-07 14:02:17,137,Queens,48,Manhattan,1.93,22.5,30.96,0.0,1
2,2022-09-05 21:16:33,2022-09-05 21:21:59,162,Queens,137,Queens,0.94,5.5,11.16,0.0,1
2,2022-09-30 13:13:02,2022-09-30 13:25:22,164,Brooklyn,100,Brooklyn,0.58,8.5,14.16,0.0,1
2,2022-09-20 10:27:12,2022-09-20 10:42:25,170,Brooklyn,161,Queens,0.75,10.0,13.3,0.0,2
1,2022-09-17 14:46:45,2022-09-17 15:09:24,43,Bronx,164,Brooklyn,2.5,15.0,21.3,0.0,1
1,2022-09-20 13:31:11,2022-09-20 13:35:36,170,Brooklyn,234,Manhattan,0.5,4.5,7.8,0.0,2
2,2022-09-15 10:42:54,2022-09-15 10:59:53,162,Queens,113,Queens,1.98,12.0,17.6,0.0,1
2,2022-09-04 01:34:05,2022-09-04 01:44:53,68,Brooklyn,151,Queens,3.39,11.5,18.36,0.0,1
2,2022-09-04 18:39:37,2022-09-04 18:43:40,211,Manhattan,249,Manhattan,0.79,5.0,8.3,0.0,2
2,2022-09-06 06:48:29,2022-09-06 06:55:10,48,Manhattan,143,Queens,1.56,7.0,10.3,0.0,2
2,2022-09-22 15:55:20,2022-09-22 16:04:14,236,Queens,236,Queens,1.26,7.0,11.3,0.0,1
2,2022-09-23 20:21:15,2022-09-23 20:26:43,100,Brooklyn,230,Manhattan,0.9,-5.5,-9.3,0.0,4
1,2022-09-29 23:16:49,2022-09-29 23:42:24,68,Brooklyn,229,Manhattan,2.8,16.5,22.3,0.0,1
2,2022-09-14 22:49:33,2022-09-14 23:14:57,164,Brooklyn,239,Manhattan,3.6,18.0,26.16,0.0,1
2,2022-09-28 10:47:02,2022-09-28 11:02:14,13,Manhattan,113,Queens,1.96,11.5,16.28,0.0,1
2,2022-09-17 04:09:09,2022-09-17 04:28:47,211,Manhattan,143,Queens,4.63,17.0,24.96,0.0,1
1,2022-09-24 21:46:53,2022-09-24 22:10:49,236,Queens,179,Queens,5.2,19.5,25.3,0.0,1
2,2022-09-04 17:53:59,2022-09-04 18:11:42,236,Queens,164,Brooklyn,2.73,13.0,19.56,0.0,1
2,2022-09-10 10:11:04,2022-09-10 10:15:51,107,Brooklyn,144,Queens,1.07,5.5,10.56,0.0,1
1,2022-09-13 17:56:50,2022-09-13 18:09:06,142,Queens,140,Queens,1.7,9.5,16.55,0.0,1
1,2022-09-11 16:49:34,2022-09-11 17:00:41,238,Manhattan,41,Manhattan,1.7,8.0,13.55,0.0,1
1,2022-09-02 10:59:49,2022-09-02 11:39:20,97,Brooklyn,9,Manhattan,0.0,42.2,43.0,0.0,1
1,2022-09-16 14:55:19,2022-09-16 16:30:04,239,Manhattan,132,Queens,20.0,52.0,74.2,6.55,1
2,2022-09-15 09:40:49,2022-09-15 09:50:54,114,Queens,158,Queens,1.17,7.5,10.8,0.0,2
2,2022-09-09 10:33:40,2022-09-09 10:56:19,186,Queens,170,Brooklyn,1.38,14.0,20.76,0.0,1
2,2022-09-28 00:35:35,2022-09-28 00:54:05,138,Queens,243,Manhattan,9.81,28.0,40.1,6.55,1
2,2022-09-10 07:59:22,2022-09-10 08:30:38,132,Queens,145,Queens,15.09,45.0,54.11,0.0,1
2,2022-09-04 21:28:50,2022-09-04 21:36:43,233,Manhattan,107,Brooklyn,1.42,7.0,12.96,0.0,1
2,2022-09-13 11:58:12,2022-09-13 12:29:33,132,Queens,72,Brooklyn,9.61,30.5,39.06,0.0,1
2,2022-09-06 06:06:05,2022-09-06 06:07:57,90,Brooklyn,68,Brooklyn,0.71,4.0,8.58,0.0,1
2,2022-09-23 06:53:32,2022-09-23 06:59:19,74,Brooklyn,74,Brooklyn,0.79,5.5,6.3,0.0,2
2,2022-09-14 19:00:05,2022-09-14 19:20:22,230,Manhattan,151,Queens,3.66,16.0,40.3,0.0,1
2,2022-09-23 01:43:58,2022-09-23 01:51:58,48,Manhattan,186,Queens,1.35,7.5,12.43,0.0,1
2,2022-09-06 19:10:29,2022-09-06 19:28:36,90,Brooklyn,114,Queens,1.96,12.0,19.56,0.0,1
2,2022-09-15 07:22:12,2022-09-15 07:27:28,263,Manhattan,237,Manhattan,1.39,6.5,11.76,0.0,1
2,2022-09-24 17:57:14,2022-09-24 18:02:35,162,Queens,263,Manhattan,1.18,6.0,11.16,0.0,1
1,2022-09-09 22:15:59,2022-09-09 22:53:32,138,Queens,13,Manhattan,12.9,40.0,50.0,0.0,1
2,2022-09-04 10:52:45,2022-09-04 10:58:36,151,Queens,75,Brooklyn,1.08,6.5,9.49,0.0,1
2,2022-09-04 00:41:10,2022-09-04 00:47:07,249,Manhattan,164,Brooklyn,1.45,6.5,13.39,0.0,1
2,2022-09-01 21:31:28,2022-09-01 21:56:37,144,Queens,230,Manhattan,3.22,17.0,26.0,0.0,1
1,2022-09-16 00:53:48,2022-09-16 01:08:46,230,Manhattan,145,Queens,3.1,13.0,18.8,0.0,1
1,2022-09-19 07:07:31,2022-09-19 07:21:35,186,Queens,162,Queens,1.4,10.0,15.95,0.0,1
2,2022-09-10 07:58:18,2022-09-10 08:05:39,186,Queens,246,Manhattan,1.02,7.0,12.36,0.0,1
2,2022-09-09 02:05:23,2022-09-09 02:13:43,164,Brooklyn,230,Manhattan,1.67,8.0,14.16,0.0,1
1,2022-09-27 23:32:03,2022-09-27 23:48:15,68,Brooklyn,239,Manhattan,3.4,14.0,21.35,0.0,1
2,2022-09-27 17:02:18,2022-09-27 17:13:11,75,Brooklyn,237,Manhattan,1.8,9.0,15.96,0.0,1
1,2022-09-07 08:28:45,2022-09-07 08:36:52,90,Brooklyn,170,Brooklyn,0.9,7.0,11.3,0.0,1
2,2022-09-27 19:05:34,2022-09-27 19:18:20,161,Queens,236,Queens,2.43,11.0,18.36,0.0,1
