VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
2,2021-01-18 17:18:16,2021-01-18 17:23:41,144,Queens,79,Brooklyn,1.03,5.5,10.56,0.0,1
2,2021-01-04 15:01:29,2021-01-04 15:14:15,107,Brooklyn,141,Queens,2.67,11.0,15.0,0.0,1
1,2021-01-26 17:42:37,2021-01-26 18:15:10,132,Queens,90,Brooklyn,18.0,52.0,73.67,6.12,1
2,2021-01-29 20:23:15,2021-01-29 20:25:47,233,Manhattan,137,Queens,0.46,4.0,9.36,0.0,1
2,2021-01-14 19:50:43,2021-01-14 20:14:26,113,Queens,7,Manhattan,5.74,21.0,32.89,0.0,1
2,2021-01-21 06:50:00,2021-01-21 06:59:00,213,Manhattan,174,Queens,5.22,22.59,26.14,0.0,0
2,2021-01-30 14:30:56,2021-01-30 14:37:29,237,Manhattan,43,Bronx,0.65,6.0,9.3,0.0,1
1,2021-01-26 12:56:28,2021-01-26 13:03:30,100,Brooklyn,234,Manhattan,1.3,6.5,9.8,0.0,2
2,2021-01-03 12:45:19,2021-01-03 13:16:02,48,Manhattan,132,Queens,18.07,52.0,73.7,6.12,1
1,2021-01-05 12:15:26,2021-01-05 12:29:04,113,Queens,229,Manhattan,2.9,12.0,15.3,0.0,2
2,2021-01-28 13:21:25,2021-01-28 13:33:29,107,Brooklyn,162,Queens,2.05,10.0,17.29,0.0,1
2,2021-01-30 13:32:46,2021-01-30 13:41:16,238,Manhattan,236,Queens,1.34,7.5,13.5,0.0,1
1,2021-01-11 15:06:40,2021-01-11 15:12:52,161,Queens,48,Manhattan,0.7,6.0,9.3,0.0,1
2,2021-01-06 08:07:44,2021-01-06 08:15:02,151,Queens,239,Manhattan,1.42,7.0,12.36,0.0,1
2,2021-01-07 10:42:40,2021-01-07 10:58:51,140,Queens,186,Queens,3.74,14.5,17.8,0.0,2
1,2021-01-19 08:59:46,2021-01-19 09:15:03,262,Manhattan,239,Manhattan,2.1,11.5,17.75,0.0,1
2,2021-01-08 15:25:18,2021-01-08 15:32:32,237,Manhattan,143,Queens,1.53,7.5,12.8,0.0,1
1,2021-01-21 16:04:36,2021-01-21 16:04:44,145,Queens,145,Queens,0.0,2.5,4.3,0.0,2
1,2021-01-13 14:29:02,2021-01-13 14:35:34,50,Brooklyn,142,Queens,1.4,6.5,11.75,0.0,1
2,2021-01-17 17:08:13,2021-01-17 17:26:46,151,Queens,151,Queens,3.08,14.5,19.3,0.0,1
2,2021-01-16 17:18:56,2021-01-16 17:23:15,263,Manhattan,262,Manhattan,0.98,5.0,9.96,0.0,1
2,2021-01-21 11:42:33,2021-01-21 11:57:30,237,Manhattan,143,Queens,1.83,11.0,14.3,0.0,2
1,2021-01-19 16:34:32,2021-01-19 16:41:57,68,Brooklyn,246,Manhattan,0.8,6.5,12.95,0.0,1
2,2021-01-03 12:48:23,2021-01-03 12:51:28,158,Queens,90,Brooklyn,0.94,5.0,9.96,0.0,1
1,2021-01-20 08:33:37,2021-01-20 08:39:03,186,Queens,170,Brooklyn,0.6,5.5,8.8,0.0,4
2,2021-01-29 14:27:47,2021-01-29 14:37:05,141,Queens,237,Manhattan,0.87,7.0,11.8,0.0,1
2,2021-01-21 14:20:52,2021-01-21 14:37:11,140,Queens,140,Queens,2.47,12.5,15.8,0.0,2
1,2021-01-13 20:22:16,2021-01-13 20:29:00,161,Queens,238,Manhattan,2.3,8.5,14.15,0.0,0
1,2021-01-05 11:46:00,2021-01-05 11:57:10,237,Manhattan,186,Queens,2.0,10.0,15.95,0.0,1
1,2021-01-31 16:02:33,2021-01-31 16:13:20,151,Queens,143,Queens,1.7,9.5,12.8,0.0,2
1,2021-01-17 19:44:16,2021-01-17 19:59:04,142,Queens,262,Manhattan,3.1,13.0,19.55,0.0,1
1,2021-01-10 00:37:13,2021-01-10 00:48:42,238,Manhattan,68,Brooklyn,3.6,13.0,21.0,0.0,1
1,2021-01-22 16:25:34,2021-01-22 16:34:51,170,Brooklyn,141,Queens,1.9,8.5,16.6,0.0,1
2,2021-01-15 09:47:29,2021-01-15 09:54:45,100,Brooklyn,162,Queens,1.39,7.0,10.3,0.0,2
1,2021-01-09 14:38:27,2021-01-09 14:42:52,229,Manhattan,262,Manhattan,1.2,5.5,10.55,0.0,1
1,2021-01-09 17:32:07,2021-01-09 17:42:15,263,Manhattan,74,Brooklyn,2.5,10.0,15.8,0.0,1
2,2021-01-20 20:01:54,2021-01-20 20:06:32,161,Queens,170,Brooklyn,1.19,6.0,10.8,0.0,1
1,2021-01-23 14:28:07,2021-01-23 14:35:24,234,Manhattan,137,Queens,0.9,6.5,9.8,0.0,2
2,2021-01-02 14:39:07,2021-01-02 14:58:37,238,Manhattan,74,Brooklyn,3.3,15.5,18.8,0.0,2
2,2021-01-08 04:09:55,2021-01-08 04:28:12,137,Queens,182,Queens,10.58,29.5,33.3,0.0,1
2,2021-01-27 17:54:00,2021-01-27 18:06:00,113,Queens,137,Queens,1.93,9.73,14.45,0.0,0
2,2021-01-21 12:15:29,2021-01-21 12:31:39,43,Bronx,186,Queens,3.44,14.0,20.76,0.0,1
