VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,PULBoroughs,DOLocationID,DOLBoroughs,trip_distance,fare_amount,total_amount,tolls_amount,payment_type
1,2021-11-15 07:08:33,2021-11-15 07:15:29,100,Brooklyn,162,Queens,1.9,7.5,14.0,0.0,1
2,2021-11-01 21:24:27,2021-11-01 21:42:44,234,Manhattan,48,Manhattan,1.9,12.5,16.8,0.0,1
1,2021-11-18 08:37:17,2021-11-18 09:06:41,231,Manhattan,161,Queens,3.9,20.5,27.8,0.0,1
2,2021-11-20 10:44:28,2021-11-20 10:51:48,262,Manhattan,237,Manhattan,0.9,6.5,11.76,0.0,1
1,2021-11-09 14:06:50,2021-11-09 14:25:44,142,Queens,141,Queens,1.9,13.0,19.55,0.0,1
1,2021-11-07 23:31:49,2021-11-07 23:43:11,239,Manhattan,262,Manhattan,2.1,10.0,15.8,0.0,1
2,2021-11-06 17:34:53,2021-11-06 17:39:49,79,Brooklyn,137,Queens,0.88,5.5,10.8,0.0,1
1,2021-11-21 05:46:24,2021-11-21 06:11:59,157,Queens,48,Manhattan,9.3,28.5,36.3,0.0,1
1,2021-11-26 10:36:22,2021-11-26 10:48:19,161,Queens,237,Manhattan,2.2,10.0,15.95,0.0,1
1,2021-11-15 07:52:15,2021-11-15 08:21:43,246,Manhattan,75,Brooklyn,4.7,21.0,29.16,0.0,1
2,2021-11-12 00:24:55,2021-11-12 00:37:34,249,Manhattan,50,Brooklyn,3.16,12.5,17.3,0.0,1
2,2021-11-13 22:32:24,2021-11-13 22:57:50,249,Manhattan,43,Bronx,5.01,20.0,26.0,0.0,1
2,2021-11-23 11:44:08,2021-11-23 12:12:25,164,Brooklyn,132,Queens,16.61,52.0,61.85,6.55,2
2,2021-11-22 07:57:00,2021-11-22 08:16:00,79,Brooklyn,246,Manhattan,3.43,15.66,23.01,0.0,0
2,2021-11-09 13:15:01,2021-11-09 13:26:21,100,Brooklyn,100,Brooklyn,0.16,8.0,13.56,0.0,1
2,2021-11-29 10:38:55,2021-11-29 10:42:03,163,Brooklyn,163,Brooklyn,0.47,4.0,7.3,0.0,2
2,2021-11-10 15:04:50,2021-11-10 15:24:17,141,Queens,226,Manhattan,2.87,15.0,22.88,0.0,1
1,2021-11-19 08:24:31,2021-11-19 08:42:14,13,Manhattan,230,Manhattan,3.7,14.5,21.95,0.0,1
2,2021-11-29 18:44:12,2021-11-29 18:57:00,237,Manhattan,50,Brooklyn,1.99,10.5,17.76,0.0,1
1,2021-11-12 10:00:11,2021-11-12 10:41:35,138,Queens,48,Manhattan,10.0,35.5,55.9,6.55,1
2,2021-11-01 00:16:53,2021-11-01 00:24:59,161,Queens,48,Manhattan,2.17,8.5,12.3,0.0,2
1,2021-11-21 09:07:57,2021-11-21 09:33:29,132,Queens,37,Manhattan,9.6,29.0,31.05,0.0,2
1,2021-11-11 17:12:33,2021-11-11 18:08:50,132,Queens,68,Brooklyn,17.5,52.0,63.1,6.55,2
1,2021-11-18 21:06:43,2021-11-18 21:24:17,141,Queens,90,Brooklyn,3.5,14.5,19.3,0.0,1
1,2021-11-21 16:01:00,2021-11-21 16:37:17,230,Manhattan,138,Queens,10.1,35.0,56.05,6.55,1
2,2021-11-03 08:56:50,2021-11-03 09:11:05,186,Queens,163,Brooklyn,1.58,10.0,15.96,0.0,1
